Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
White Oak - Saddle1,White Oak - Saddle,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>C117</span></div><div><strong>Product Number: </strong><span>Plano Strip</span></div><div><strong>Collection: </strong><span>White Oak</span></div><div><strong>Species: </strong><span>Good</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 15 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>2 1/4 in.</span></div><div><strong>Width: </strong><span>3/4 in.</span></div></div>,Bruce Flooring,Solid Hardwood Strip,"Floors,Hardwood,C117,Plano Strip,White Oak,Good,Residential Warranty: 15 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,2 1/4 in.,3/4 in.,Plano Strip",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/BV631UM?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Red Oak - Saddle2,Red Oak - Saddle,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>C1217</span></div><div><strong>Product Number: </strong><span>Manchester Strip & Plank</span></div><div><strong>Collection: </strong><span>Red Oak</span></div><div><strong>Species: </strong><span>Better</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 35 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>3 1/4 in.</span></div><div><strong>Width: </strong><span>3/4 in.</span></div></div>,Bruce Flooring,Solid Hardwood Plank,"Floors,Hardwood,C1217,Manchester Strip & Plank,Red Oak,Better,Residential Warranty: 35 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,3 1/4 in.,3/4 in.,Manchester Strip & Plank",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/C1217?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Red Oak - Butterscotch3,Red Oak - Butterscotch,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>CB1216</span></div><div><strong>Product Number: </strong><span>Dundee Plank</span></div><div><strong>Collection: </strong><span>Red Oak</span></div><div><strong>Species: </strong><span>Best</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 50 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>3 1/4 in.</span></div><div><strong>Width: </strong><span>3/4 in.</span></div></div>,Bruce Flooring,Solid Hardwood Plank,"Floors,Hardwood,CB1216,Dundee Plank,Red Oak,Best,Residential Warranty: 50 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,3 1/4 in.,3/4 in.,Dundee Plank",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/CB1216?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Hickory - Smokey Topaz4,Hickory - Smokey Topaz,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>C3778</span></div><div><strong>Product Number: </strong><span>American Treasures</span></div><div><strong>Collection: </strong><span>Hickory</span></div><div><strong>Species: </strong><span>Best</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 50 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>3 in.</span></div><div><strong>Width: </strong><span>3/4 in.</span></div></div>,Bruce Flooring,Solid Hardwood Plank,"Floors,Hardwood,C3778,American Treasures,Hickory,Best,Residential Warranty: 50 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,3 in.,3/4 in.,American Treasures",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/C3778?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Hickory - Bison5,Hickory - Bison,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>EEL5202</span></div><div><strong>Product Number: </strong><span>Frontier</span></div><div><strong>Collection: </strong><span>Hickory</span></div><div><strong>Species: </strong><span>Value</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 25 Years</span></div><div><strong>Warranty: </strong><span>Engineered Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 10 - 48 in.</span></div><div><strong>Length: </strong><span>5 in.</span></div><div><strong>Width: </strong><span>3/8 in.</span></div></div>,Bruce Flooring,Engineered Hardwood Wide Plank,"Floors,Hardwood,EEL5202,Frontier,Hickory,Value,Residential Warranty: 25 Years,Engineered Hardwood,Varying Lengths: 10 - 48 in.,5 in.,3/8 in.,Frontier",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Red Oak - Country Natural6,Red Oak - Country Natural,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>C8210</span></div><div><strong>Product Number: </strong><span>Waltham Strip</span></div><div><strong>Collection: </strong><span>Red Oak</span></div><div><strong>Species: </strong><span>Good</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 25 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>2 1/4 in.</span></div><div><strong>Width: </strong><span>3/4 in.</span></div></div>,Bruce Flooring,Solid Hardwood Strip,"Floors,Hardwood,C8210,Waltham Strip,Red Oak,Good,Residential Warranty: 25 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,2 1/4 in.,3/4 in.,Waltham Strip",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Hickory - Country Natural7,Hickory - Country Natural,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>C3710</span></div><div><strong>Product Number: </strong><span>American Treasures</span></div><div><strong>Collection: </strong><span>Hickory</span></div><div><strong>Species: </strong><span>Best</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 50 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>3 in.</span></div><div><strong>Width: </strong><span>3/4 in.</span></div></div>,Bruce Flooring,Solid Hardwood Plank,"Floors,Hardwood,C3710,American Treasures,Hickory,Best,Residential Warranty: 50 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,3 in.,3/4 in.,American Treasures",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/C3710?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
White Oak - Walnut8,White Oak - Walnut,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>C5031LG</span></div><div><strong>Product Number: </strong><span>Natural Choice</span></div><div><strong>Collection: </strong><span>White Oak</span></div><div><strong>Species: </strong><span>Best</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 25 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>2 1/4 in.</span></div><div><strong>Width: </strong><span>5/16 in.</span></div></div>,Bruce Flooring,Solid Hardwood Strip,"Floors,Hardwood,C5031LG,Natural Choice,White Oak,Best,Residential Warranty: 25 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,2 1/4 in.,5/16 in.,Natural Choice",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/C5031LG_2a?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Red Oak - Mocha9,Red Oak - Mocha,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>CB5277</span></div><div><strong>Product Number: </strong><span>Dundee Plank</span></div><div><strong>Collection: </strong><span>Red Oak</span></div><div><strong>Species: </strong><span>Best</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 50 Years</span></div><div><strong>Warranty: </strong><span>Solid Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 8 1/4 - 84 in.</span></div><div><strong>Length: </strong><span>5 in.</span></div><div><strong>Width: </strong><span>3/4 in.</span></div></div>,Bruce Flooring,Solid Hardwood Wide Plank,"Floors,Hardwood,CB5277,Dundee Plank,Red Oak,Best,Residential Warranty: 50 Years,Solid Hardwood,Varying Lengths: 8 1/4 - 84 in.,5 in.,3/4 in.,Dundee Plank",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/CB5277?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Birch - Derby10,Birch - Derby,<div><div><strong>Overview: </strong><span>Floors</span></div><div><strong>Category: </strong><span>Hardwood</span></div><div><strong>Flooring Type: </strong><span>E3562</span></div><div><strong>Product Number: </strong><span>Turlington American Exotics</span></div><div><strong>Collection: </strong><span>Birch</span></div><div><strong>Species: </strong><span>Better</span></div><div><strong>Performance Class: </strong><span>Residential Warranty: 25 Years</span></div><div><strong>Warranty: </strong><span>Engineered Hardwood</span></div><div><strong>Construction: </strong><span>Varying Lengths: 10 - 48 in.</span></div><div><strong>Length: </strong><span>3 in.</span></div><div><strong>Width: </strong><span>3/8 in.</span></div></div>,Bruce Flooring,Engineered Hardwood Plank,"Floors,Hardwood,E3562,Turlington American Exotics,Birch,Better,Residential Warranty: 25 Years,Engineered Hardwood,Varying Lengths: 10 - 48 in.,3 in.,3/8 in.,Turlington American Exotics",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://s7d2.scene7.com/is/image/ArmstrongFlooring/E3562_2a?wid=350,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
