Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Avalon – Coming Soon!1,Avalon – Coming Soon!,<div><div><span>Style Number: DVRVP621-C</span></div><div><span>Size: 7mm x 5″ x 24″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant SPC – Rigid Core</span></div><div><span>Texture: Embossed</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: Micro-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DVRVP621-C,Size: 7mm x 5″ x 24″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant SPC – Rigid Core,Texture: Embossed,Finish: Crystal Finish,Edge: Micro-Bevel,System: Click-Lock,Lennox ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DV788-C_Avalon.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Ashton Pinewood2,Ashton Pinewood,<div><div><span>Style Number: DVRVP600-C</span></div><div><span>Size: 5mm x 7 1/16″ x 48″ with 1mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant SPC – Rigid Core</span></div><div><span>Texture: Embossed in Register</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: Micro-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DVRVP600-C,Size: 5mm x 7 1/16″ x 48″ with 1mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant SPC – Rigid Core,Texture: Embossed in Register,Finish: Crystal Finish,Edge: Micro-Bevel,System: Click-Lock,StoneCrest ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DVRVP600-C_Ashton_Pinewood.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Alps3,Alps,<div><div><span>Style Number:  DV782-C</span></div><div><span>Size: 9mm x 9″ x 72″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant WPC</span></div><div><span>Texture: Crystal</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: V-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number:  DV782-C,Size: 9mm x 9″ x 72″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant WPC,Texture: Crystal,Finish: Crystal Finish,Edge: V-Bevel,System: Click-Lock,Harbor ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DV782-C_Alps.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Delacy4,Delacy,<div><div><span>Style Number: DV779-C</span></div><div><span>Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant WPC</span></div><div><span>Texture: Textured</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: V-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DV779-C,Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant WPC,Texture: Textured,Finish: Crystal Finish,Edge: V-Bevel,System: Click-Lock,Harbor ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DV779-C_Delacy.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Burnished Hickory5,Burnished Hickory,<div><div><span>Style Number: DV738-C</span></div><div><span>Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant WPC</span></div><div><span>Texture: Embossed | Hand Scraped | Distressed</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: Micro-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DV738-C,Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant WPC,Texture: Embossed | Hand Scraped | Distressed,Finish: Crystal Finish,Edge: Micro-Bevel,System: Click-Lock,Sinclair ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DV738-C_Burnished_Hickory.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Glenshire – Coming Soon!6,Glenshire – Coming Soon!,<div><div><span>Style Number: DVRVP613-C</span></div><div><span>Size: 5.5mm x 4″ | 6″ | 8″ x Up to 70 7/8″ Mixed Width with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant SPC – Rigid Core</span></div><div><span>Texture: Embossed</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: V-Bevel</span></div><div><span>System: 5G-I Click Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DVRVP613-C,Size: 5.5mm x 4″ | 6″ | 8″ x Up to 70 7/8″ Mixed Width with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant SPC – Rigid Core,Texture: Embossed,Finish: Crystal Finish,Edge: V-Bevel,System: 5G-I Click Lock,Lennox ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DVRVP613-C_Glenshire.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Foxtail7,Foxtail,<div><div><span>Style Number: DV767-C</span></div><div><span>Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant WPC</span></div><div><span>Texture: Embossed</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: Micro-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DV767-C,Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant WPC,Texture: Embossed,Finish: Crystal Finish,Edge: Micro-Bevel,System: Click-Lock,Harbor ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2017/06/DV767-C_Foxtail-2.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Heatherstone8,Heatherstone,<div><div><span>Style Number: DV740-C</span></div><div><span>Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant WPC</span></div><div><span>Texture: Embossed</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: Micro-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DV740-C,Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant WPC,Texture: Embossed,Finish: Crystal Finish,Edge: Micro-Bevel,System: Click-Lock,Sinclair ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DV740-C_Heatherstone.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Cordova Cherry9,Cordova Cherry,<div><div><span>Style Number: DV741-C</span></div><div><span>Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant WPC</span></div><div><span>Texture: Embossed | Wire Brushed</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: Micro-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DV741-C,Size: 6mm x 7 1/16″ x 48″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant WPC,Texture: Embossed | Wire Brushed,Finish: Crystal Finish,Edge: Micro-Bevel,System: Click-Lock,Sinclair ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DV741-C_Cordova_Cherry.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Kinsley – Coming Soon!10,Kinsley – Coming Soon!,<div><div><span>Style Number: DVRVP618-C</span></div><div><span>Size: 5.5mm x 7″ x 48″ with 1.5mm Attached EVA Pad</span></div><div><span>Wear Layer: 20 mil</span></div><div><span>Construction: Water-Resistant SPC – Rigid Core</span></div><div><span>Texture: Texture</span></div><div><span>Finish: Crystal Finish</span></div><div><span>Edge: V-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DVRVP618-C,Size: 5.5mm x 7″ x 48″ with 1.5mm Attached EVA Pad,Wear Layer: 20 mil,Construction: Water-Resistant SPC – Rigid Core,Texture: Texture,Finish: Crystal Finish,Edge: V-Bevel,System: Click-Lock,Lennox ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DVRVP618-C_Kinsley.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
