Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Antique Pewter1,Antique Pewter,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Oak",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/oak-antique-pewter-e1449590313510-resize_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Earl Grey2,Earl Grey,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Oak",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/oak-earl-grey-e1449590710558-resize_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Java3,Java,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Oak",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/oak-java-resize_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Chai4,Chai,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Maple",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/maple-chai-btma827cha_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
French Roast5,French Roast,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Maple",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/maple-french-roast-btma827fro_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Matcha Tea6,Matcha Tea,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Oak",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/bistro-matcha-tea_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Mochaccino7,Mochaccino,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Maple",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/bistro-mochaccino_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Frappe8,Frappe,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Oak",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/bistro-frappe_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Macchiato9,Macchiato,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Oak",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/bistro-macchiato_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Morchello10,Morchello,"<div class=""paragraph"" style=""text-align:left;""><font color=""#2a2a2a""><font size=""5""><strong>Bistro Collection Specifications<br/>​</strong></font></font> Structure: 9-ply core<br/> Wear Layer: 3mm &amp; 4mm dry sawn wear layer<br/> Dimensions: 3/4” x 4-3/4” x R/L (12”-47”)<br/> Edge Detail: Beveled edges<br/> Finish: Wire Brush<br/> Gloss Level: 10%<br/> Installation: T&amp;G joint. Staple, Glued Down &amp; Floating<br/> Suitable Location: On, Above or Below<br/> Warranty: Limited 35 Year, Lifetime structural warranty<br/>​ Certification: E1 CARB II &amp; Floor Score<br/>​<br/></div>",Fuzion Flooring,,"Bistro,Collection,Specifications,Structure,9,ply,core,Wear,Layer,3mm,amp,4mm,dry,sawn,wear,layer,Dimensions,3,4,x,4,3,4,x,R,L,12,47,Edge,Detail,Beveled,edges,Finish,Wire,Brush,Gloss,Level,10,Installation,T,amp,G,joint,Staple,Glued,Down,amp,Floating,Suitable,Location,On,Above,or,Below,Warranty,Limited,35,Year,Lifetime,structural,warranty,Certification,E1,CARB,II,amp,Floor,Score,Oak",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.fuzionflooring.com/uploads/1/0/5/2/105286231/bistro-morchello_orig.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
