Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant`Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Southbury French Beige,Southbury French Beige,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_01,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_01,,,
Southbury Medieval Gray,Southbury Medieval Gray,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_02,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_02,,,
Southbury Gravelstone,Southbury Gravelstone,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Light</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_03,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_03,,,
Southbury Cavalry,Southbury Cavalry,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_04,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_04,,,
Southbury Buff,Southbury Buff,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Light</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_05,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_05,,,
Elderwood Sandbank Oak,Elderwood Sandbank Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_1,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_1,,,
Elderwood Bungalow Oak,Elderwood Bungalow Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_2,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_2,,,
Elderwood Asher Gray Oak,Elderwood Asher Gray Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_3,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_3,,,
Elderwood Aged Copper Oak,Elderwood Aged Copper Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Dark,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_4,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_4,,,
Sawmill Ridge Gingerglow Oak,Sawmill Ridge Gingerglow Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>6.12 inches</span></div><div><strong>Embossing: </strong><span>Random Embossed</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_1,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_1,,,
