Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Solid Red Oak Hardwood1,Solid Red Oak Hardwood,"<div><div><strong>Product code: </strong><span>22353</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Red Oak</span></div><div><strong>Color: </strong><span>Granite</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Aluminum Oxide Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / beveled end</span></div><div><strong>Janka Rating: </strong><span>1290</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>2 1/4""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>15-year warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Red Oak,Granite,Smooth,Aluminum Oxide Finish,Beveled edge / beveled end,1290,USA,2 1/4"",Random board lengths up to seven feet,3/4"",15-year warranty,Oak Pointe",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/74345ed5-8ad7-47b8-953b-78bae09235f4/22353-oak-pointe-oak-granite_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Solid Red Oak Hardwood2,Solid Red Oak Hardwood,"<div><div><strong>Product code: </strong><span>19925</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Oak</span></div><div><strong>Color: </strong><span>Gunstock</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Aluminum Oxide Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / beveled end</span></div><div><strong>Janka Rating: </strong><span>1290</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>2 1/4""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>15-year warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Oak,Gunstock,Smooth,Aluminum Oxide Finish,Beveled edge / beveled end,1290,USA,2 1/4"",Random board lengths up to seven feet,3/4"",15-year warranty,Oak Pointe",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/02cdb93b-6f5d-4324-8114-a201f3321d87/19925-oak-pointe-oak-gunstock_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Solid Red Oak Hardwood3,Solid Red Oak Hardwood,"<div><div><strong>Product code: </strong><span>19929</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Oak</span></div><div><strong>Color: </strong><span>Dark Chocolate</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Aluminum Oxide Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / beveled end</span></div><div><strong>Janka Rating: </strong><span>1290</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>2 1/4""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>15-year warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Oak,Dark Chocolate,Smooth,Aluminum Oxide Finish,Beveled edge / beveled end,1290,USA,2 1/4"",Random board lengths up to seven feet,3/4"",15-year warranty,Oak Pointe",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/7d2a0c47-f50a-44b2-912d-1af076bbfcb5/19929-oak-pointe-oak-dark-chocolate_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Solid Red Oak Hardwood4,Solid Red Oak Hardwood,"<div><div><strong>Product code: </strong><span>19923</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Red Oak</span></div><div><strong>Color: </strong><span>Natural</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Aluminum Oxide Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / beveled end</span></div><div><strong>Janka Rating: </strong><span>1290</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>2 1/4""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>15-year warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Red Oak,Natural,Smooth,Aluminum Oxide Finish,Beveled edge / beveled end,1290,USA,2 1/4"",Random board lengths up to seven feet,3/4"",15-year warranty,Oak Pointe",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/2523455b-c795-425c-bb68-0e5f8185a887/19923-oak-pointe-red-oak-natural_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Solid Red Oak Hardwood5,Solid Red Oak Hardwood,"<div><div><strong>Product code: </strong><span>19927</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Oak</span></div><div><strong>Color: </strong><span>Saddle</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Aluminum Oxide Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / beveled end</span></div><div><strong>Janka Rating: </strong><span>1290</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>2 1/4""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>15-year warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Oak,Saddle,Smooth,Aluminum Oxide Finish,Beveled edge / beveled end,1290,USA,2 1/4"",Random board lengths up to seven feet,3/4"",15-year warranty,Oak Pointe",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/7fd68ff0-b858-4806-a5c7-4c86a5d4f41d/19927-oak-pointe-oak-saddle_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Engineered Hickory Hardwood6,Engineered Hickory Hardwood,"<div><div><strong>Product code: </strong><span>19589</span></div><div><strong>Construction: </strong><span>Engineered hardwood</span></div><div><strong>Species: </strong><span>Hickory</span></div><div><strong>Color: </strong><span>Saddle</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Aluminum Oxide Finish</span></div><div><strong>Edge Treatment: </strong><span>Micro-beveled edge / micro-beveled end</span></div><div><strong>Janka Rating: </strong><span>1820</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>5""</span></div><div><strong>Length: </strong><span>Random board lengths up to six feet</span></div><div><strong>Thickness: </strong><span>1/2""</span></div><div><strong>Finish Warranty: </strong><span>25-year warranty</span></div></div>",Mullican Hardwood Flooring,,"Engineered hardwood,Hickory,Saddle,Smooth,Aluminum Oxide Finish,Micro-beveled edge / micro-beveled end,1820,USA,5"",Random board lengths up to six feet,1/2"",25-year warranty,Ridgecrest",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/4c4c06fe-1c87-4705-9ce9-fc1eccf559ac/19589-ridgecrest-hickory-saddle_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Engineered Hickory Hardwood7,Engineered Hickory Hardwood,"<div><div><strong>Product code: </strong><span>19587</span></div><div><strong>Construction: </strong><span>Engineered hardwood</span></div><div><strong>Species: </strong><span>Hickory</span></div><div><strong>Color: </strong><span>Natural</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Aluminum Oxide Finish</span></div><div><strong>Edge Treatment: </strong><span>Micro-beveled edge / micro-beveled end</span></div><div><strong>Janka Rating: </strong><span>1820</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>5""</span></div><div><strong>Length: </strong><span>Random board lengths up to six feet</span></div><div><strong>Thickness: </strong><span>1/2""</span></div><div><strong>Finish Warranty: </strong><span>25-year warranty</span></div></div>",Mullican Hardwood Flooring,,"Engineered hardwood,Hickory,Natural,Smooth,Aluminum Oxide Finish,Micro-beveled edge / micro-beveled end,1820,USA,5"",Random board lengths up to six feet,1/2"",25-year warranty,Ridgecrest",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/94a4b6b1-79be-4080-88f7-675e22e56879/19587-ridgecrest-hickory-natural_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Solid White Oak Hardwood8,Solid White Oak Hardwood,"<div><div><strong>Product code: </strong><span>15418</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Oak</span></div><div><strong>Color: </strong><span>Dark Chocolate</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Claritage® Extra Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / square end</span></div><div><strong>Janka Rating: </strong><span>1360</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>3""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>Lifetime finish warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Oak,Dark Chocolate,Smooth,Claritage® Extra Finish,Beveled edge / square end,1360,USA,3"",Random board lengths up to seven feet,3/4"",Lifetime finish warranty,St. Andrews",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/78104753-06db-4d65-9842-9ab3c8678f31/15418-st-andrews-dark-chocolate_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Solid White Oak Hardwood9,Solid White Oak Hardwood,"<div><div><strong>Product code: </strong><span>14703</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Oak</span></div><div><strong>Color: </strong><span>Stirrup</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Claritage® Extra Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / square end</span></div><div><strong>Janka Rating: </strong><span>1360</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>3""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>Lifetime finish warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Oak,Stirrup,Smooth,Claritage® Extra Finish,Beveled edge / square end,1360,USA,3"",Random board lengths up to seven feet,3/4"",Lifetime finish warranty,St. Andrews",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/dabb8bc4-3203-4baf-bf9d-329e5691fb1a/14703-st-andrews-oak-stirrup_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Solid White Oak Hardwood10,Solid White Oak Hardwood,"<div><div><strong>Product code: </strong><span>15419</span></div><div><strong>Construction: </strong><span>Solid hardwood</span></div><div><strong>Species: </strong><span>Oak</span></div><div><strong>Color: </strong><span>Dark Chocolate</span></div><div><strong>Texture: </strong><span>Smooth</span></div><div><strong>Finish: </strong><span>Claritage® Extra Finish</span></div><div><strong>Edge Treatment: </strong><span>Beveled edge / square end</span></div><div><strong>Janka Rating: </strong><span>1360</span></div><div><strong>Country of Origin: </strong><span>USA</span></div><div><strong>Width: </strong><span>3""</span></div><div><strong>Length: </strong><span>Random board lengths up to seven feet</span></div><div><strong>Thickness: </strong><span>3/4""</span></div><div><strong>Finish Warranty: </strong><span>Lifetime finish warranty</span></div></div>",Mullican Hardwood Flooring,,"Solid hardwood,Oak,Dark Chocolate,Smooth,Claritage® Extra Finish,Beveled edge / square end,1360,USA,3"",Random board lengths up to seven feet,3/4"",Lifetime finish warranty,St. Andrews",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.mullicanflooring.com/getmedia/f9da24c0-3a61-4919-8922-060a292221a5/15419-st-andrews-dark-chocolate_lg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
