Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
VL78 Accent Brown1,VL78 Accent Brown,<div><div><strong>Sizes Available by Usage: </strong><span>Floors​/​Walls​/​Countertops                                                    12x1212x246x6</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>N/A</span></div><div><strong>Shade Variation: </strong><span>Medium (V2) – Color variation within each tile</span></div><div><strong>Floor Durability: </strong><span>All Residential / Commercial</span></div><div><strong>Docs: </strong><span>Volume 1.0  Sales SheetVolume 1.0 SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Floors​/​Walls​/​Countertops12x1212x246x6,_,N/A,Medium (V2) – Color variation within each tile,All Residential / Commercial,Volume 1.0  Sales SheetVolume 1.0 SDS,Volume 1.0",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DAL_Volume1.0_COM_DegreeSilver.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
IL06 Pewter2,IL06 Pewter,"<div><div><strong>Sizes Available by Usage: </strong><span>Walls Only                                                    1x83/4x8</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>Plain</span></div><div><strong>Shade Variation: </strong><span>High (V3) - Some variation from tile to tile, and within each tile</span></div><div><strong>Floor Durability: </strong><span>All Residential / Commercial</span></div><div><strong>Docs: </strong><span>Illuminary Sales SheetIlluminarySDS</span></div></div>",Daltile Hardwood Flooring,Tile,"Walls Only1x83/4x8,_,Plain,High (V3) - Some variation from tile to tile, and within each tile,All Residential / Commercial,Illuminary Sales SheetIlluminarySDS,Illuminary",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DAL_Illuminary_RES_02_KindleBlend.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
F183 Music City3,F183 Music City,<div><div><strong>Sizes Available by Usage: </strong><span>Walls Only                                                    Random</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>N/A</span></div><div><strong>Shade Variation: </strong><span>Random (V4) – Considerable variation from tile to tile</span></div><div><strong>Floor Durability: </strong><span>N/A</span></div><div><strong>Docs: </strong><span>Serenade Sales SheetSerenade SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Walls OnlyRandom,_,N/A,Random (V4) – Considerable variation from tile to tile,N/A,Serenade Sales SheetSerenade SDS,Serenade",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DT_Serenade_RES_01.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
SW03 Autumn Wood4,SW03 Autumn Wood,<div><div><strong>Sizes Available by Usage: </strong><span>Floors​/​Walls​/​Countertops                                                    12x486x488x48</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>N/A</span></div><div><strong>Shade Variation: </strong><span>Random (V4) – Considerable variation from tile to tile</span></div><div><strong>Floor Durability: </strong><span>All Residential / Commercial</span></div><div><strong>Docs: </strong><span>Season Wood Sales SheetSeason Wood SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Floors​/​Walls​/​Countertops12x486x488x48,_,N/A,Random (V4) – Considerable variation from tile to tile,All Residential / Commercial,Season Wood Sales SheetSeason Wood SDS,Season Wood",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DAL_SeasonWood_COM_01.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
J102 Holborn5,J102 Holborn,<div><div><strong>Sizes Available by Usage: </strong><span>Floors​/​Walls​/​Countertops                                                    6x24</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>Honed Polished Textured Unpolished</span></div><div><strong>Shade Variation: </strong><span>Medium (V2) – Color variation within each tile</span></div><div><strong>Floor Durability: </strong><span>All Residential / Commercial</span></div><div><strong>Docs: </strong><span>EC1 Sales SheetEC1 SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Floors​/​Walls​/​Countertops6x24,_,Honed Polished Textured Unpolished,Medium (V2) – Color variation within each tile,All Residential / Commercial,EC1 Sales SheetEC1 SDS,EC1",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/NXT_EC1_COM_07.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
FA63 Copper Blend6,FA63 Copper Blend,"<div><div><strong>Sizes Available by Usage: </strong><span>Walls Only                                                    12x12</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>Brushed</span></div><div><strong>Shade Variation: </strong><span>High (V3) - Some variation from tile to tile, and within each tile|Low (V1) – Consistent Color within each tile and from tile to tile</span></div><div><strong>Floor Durability: </strong><span>N/A</span></div><div><strong>Docs: </strong><span>FashionAccents Sales SheetFashion Accents SDS</span></div></div>",Daltile Hardwood Flooring,Tile,"Walls Only12x12,_,Brushed,High (V3) - Some variation from tile to tile, and within each tile|Low (V1) – Consistent Color within each tile and from tile to tile,N/A,FashionAccents Sales SheetFashion Accents SDS,Fashion Accents",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DT_FshnAcc_Brix_RES_02.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
EQ14 Light Universal7,EQ14 Light Universal,<div><div><strong>Sizes Available by Usage: </strong><span>Walls Only                                                    2x9</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>Textured                                                Also available in:                                                Unpolished</span></div><div><strong>Shade Variation: </strong><span>Random (V4) – Considerable variation from tile to tile</span></div><div><strong>Floor Durability: </strong><span>All Residential / Commercial</span></div><div><strong>Docs: </strong><span>Exquisite Sales SheetExquisite SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Walls Only2x9,_,TexturedAlso available in:Unpolished,Random (V4) – Considerable variation from tile to tile,All Residential / Commercial,Exquisite Sales SheetExquisite SDS,Exquisite",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DAL_Exquisite_RES_01.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
CS57 English Gray8,CS57 English Gray,<div><div><strong>Sizes Available by Usage: </strong><span>Floors​/​Walls​/​Countertops                                                    12x1218x186x6</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>N/A</span></div><div><strong>Shade Variation: </strong><span>Random (V4) – Considerable variation from tile to tile</span></div><div><strong>Floor Durability: </strong><span>All Residential / Commercial</span></div><div><strong>Docs: </strong><span>Continental Slate Sales SheetContinental Slate SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Floors​/​Walls​/​Countertops12x1218x186x6,_,N/A,Random (V4) – Considerable variation from tile to tile,All Residential / Commercial,Continental Slate Sales SheetContinental Slate SDS,Continental Slate",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/CB_DTCSRM1.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
PN94 White Image9,PN94 White Image,<div><div><strong>Sizes Available by Usage: </strong><span>Floors​/​Walls​/​Countertops                                                    12x1212x242x244x246x24</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>N/A</span></div><div><strong>Shade Variation: </strong><span>Medium (V2) – Color variation within each tile</span></div><div><strong>Floor Durability: </strong><span>All Residential / Commercial</span></div><div><strong>Docs: </strong><span>Plaza Nova Sales SheetPlaza Nova SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Floors​/​Walls​/​Countertops12x1212x242x244x246x24,_,N/A,Medium (V2) – Color variation within each tile,All Residential / Commercial,Plaza Nova Sales SheetPlaza Nova SDS,Plaza Nova",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DT_PN98_12X12_GreyFog.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
0790 Matte Arctic White10,0790 Matte Arctic White,<div><div><strong>Sizes Available by Usage: </strong><span>Walls Only                                                    6 1/2x3 1/166 3/8x3 1/2</span></div><div><strong>Price: </strong><span>_</span></div><div><strong>Finish: </strong><span>Semi-Gloss                                                Also available in:                                                Matte</span></div><div><strong>Shade Variation: </strong><span>Low (V1) – Consistent Color within each tile and from tile to tile|Medium (V2) – Color variation within each tile</span></div><div><strong>Floor Durability: </strong><span>N/A</span></div><div><strong>Docs: </strong><span>Bath Accessories Sales SheetBath Accessories SDS</span></div></div>,Daltile Hardwood Flooring,Tile,"Walls Only6 1/2x3 1/166 3/8x3 1/2,_,Semi-GlossAlso available in:Matte,Low (V1) – Consistent Color within each tile and from tile to tile|Medium (V2) – Color variation within each tile,N/A,Bath Accessories Sales SheetBath Accessories SDS,Bath Accessories",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn-daltile-images.azureedge.net/images/roomscenes/550x550/DAL_BathAccessories_RES_01.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
