Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Oak Magdalena1,Oak Magdalena,<div><div><span>Style Number: DL532</span></div><div><span>Size: 12mm x 6.34″ x 47.72″</span></div><div><span>Construction:  HDF</span></div><div><span>Texture: Cross Cut</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL532,Size: 12mm x 6.34″ x 47.72″,Construction:  HDF,Texture: Cross Cut,Finish: UV Cured Aluminum Oxide,Edge: Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2017/06/DL532_Oak_Magdalena.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Prescott – Coming Soon!2,Prescott – Coming Soon!,<div><div><span>Style Number: DL591</span></div><div><span>Size: 12mm x 4.72″ x 23.6″</span></div><div><span>Construction: Water-Resistant HDF Core</span></div><div><span>Texture: Embossed in Register</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: V-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL591,Size: 12mm x 4.72″ x 23.6″,Construction: Water-Resistant HDF Core,Texture: Embossed in Register,Finish: UV Cured Aluminum Oxide,Edge: V-Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL591_Prescott-3.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Wendel – Coming Soon!3,Wendel – Coming Soon!,<div><div><span>Style Number: DL589</span></div><div><span>Size: 12mm x 4.76″ x 47.72″</span></div><div><span>Construction: Water-Resistant HDF Core</span></div><div><span>Texture: Embossed in Register</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: U-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL589,Size: 12mm x 4.76″ x 47.72″,Construction: Water-Resistant HDF Core,Texture: Embossed in Register,Finish: UV Cured Aluminum Oxide,Edge: U-Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL589_Wendel.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Winward – Coming Soon!4,Winward – Coming Soon!,<div><div><span>Style Number: DL592</span></div><div><span>Size: 12mm x 7.48″ x 47.72″</span></div><div><span>Construction: Water-Resistant HDF Core</span></div><div><span>Texture: Textured</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: U-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL592,Size: 12mm x 7.48″ x 47.72″,Construction: Water-Resistant HDF Core,Texture: Textured,Finish: UV Cured Aluminum Oxide,Edge: U-Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL592_Winward.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Oak Carolina5,Oak Carolina,<div><div><span>Style Number: DL547</span></div><div><span>Size: 12mm x 6.34″ x 47.72″</span></div><div><span>Construction:  HDF</span></div><div><span>Texture: Textured</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL547,Size: 12mm x 6.34″ x 47.72″,Construction:  HDF,Texture: Textured,Finish: UV Cured Aluminum Oxide,Edge: Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL547_Oak_Carolina.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Longford – Coming Soon!6,Longford – Coming Soon!,<div><div><span>Style Number: DL590</span></div><div><span>Size: 12mm x 4.72″ x 23.6″</span></div><div><span>Construction: Water-Resistant HDF Core</span></div><div><span>Texture: Embossed in Register</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: V-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL590,Size: 12mm x 4.72″ x 23.6″,Construction: Water-Resistant HDF Core,Texture: Embossed in Register,Finish: UV Cured Aluminum Oxide,Edge: V-Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL590_Longford.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Oak Angola7,Oak Angola,<div><div><span>Style Number: DL546</span></div><div><span>Size: 12mm x 6.34″ x 47.72″</span></div><div><span>Construction:  HDF</span></div><div><span>Texture: Textured</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL546,Size: 12mm x 6.34″ x 47.72″,Construction:  HDF,Texture: Textured,Finish: UV Cured Aluminum Oxide,Edge: Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL546_Oak_Angola.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Shallowford – Coming Soon!8,Shallowford – Coming Soon!,<div><div><span>Style Number: DL593</span></div><div><span>Size: 12mm x 6.34″ x 47.72″</span></div><div><span>Construction: Water-Resistant HDF Core</span></div><div><span>Texture: Embossed in Register</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: U-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL593,Size: 12mm x 6.34″ x 47.72″,Construction: Water-Resistant HDF Core,Texture: Embossed in Register,Finish: UV Cured Aluminum Oxide,Edge: U-Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL593_Shallowford.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Hamilton – Coming Soon!9,Hamilton – Coming Soon!,<div><div><span>Style Number: DL594</span></div><div><span>Size: 12mm x 7.48″ x 47.72″</span></div><div><span>Construction: Water-Resistant HDF Core</span></div><div><span>Texture: Textured</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: U-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL594,Size: 12mm x 7.48″ x 47.72″,Construction: Water-Resistant HDF Core,Texture: Textured,Finish: UV Cured Aluminum Oxide,Edge: U-Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL594_Hamilton.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Blakely – Coming Soon!10,Blakely – Coming Soon!,<div><div><span>Style Number: DL588</span></div><div><span>Size: 12mm x 7.48″ x 47.72″</span></div><div><span>Construction: Water-Resistant HDF Core</span></div><div><span>Texture: Embossed in Register</span></div><div><span>Finish: UV Cured Aluminum Oxide</span></div><div><span>Edge: U-Bevel</span></div><div><span>System: Click-Lock</span></div></div>,Eagle Creek Flooring,,"Style Number: DL588,Size: 12mm x 7.48″ x 47.72″,Construction: Water-Resistant HDF Core,Texture: Embossed in Register,Finish: UV Cured Aluminum Oxide,Edge: U-Bevel,System: Click-Lock,Summit ",TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://eaglecreekfloors.com/wp-content/uploads/2019/01/DL588_Blakely.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
