Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Heights18401,Heights1840,<div><div><span>AC3 Residential Rating on Split Width Floors</span></div><div><span>AC4 Commercial Rating for items Silver</span></div><div><span>Carb Phase 2 Compliance</span></div><div><span>Light Hand-Scrape Finish</span></div><div><span>20.60 sqft./ctn for Split Width Floors</span></div><div><span>23.30 sqft./ctn for Silver</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Split Width Plank: 7 9/16 in.</span></div><div><span>Width of Silver Plank: 5 13/16 in.</span></div><div><span>Matching Color Flush Stairnose available</span></div><div><span>Lifetime limited residential warranty for Silver</span></div></div>,Knoas Flooring,,"AC3 Residential Rating on Split Width Floors,AC4 Commercial Rating for items Silver,Carb Phase 2 Compliance,Light Hand-Scrape Finish,20.60 sqft./ctn for Split Width Floors,23.30 sqft./ctn for Silver,Length of Plank: 48 in.,Width of Split Width Plank: 7 9/16 in.,Width of Silver Plank: 5 13/16 in.,Matching Color Flush Stairnose available,Lifetime limited residential warranty for Silver,19th Century",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/heights1840.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Twincity18502,Twincity1850,<div><div><span>AC3 Residential Rating on Split Width Floors</span></div><div><span>AC4 Commercial Rating for items Silver</span></div><div><span>Carb Phase 2 Compliance</span></div><div><span>Light Hand-Scrape Finish</span></div><div><span>20.60 sqft./ctn for Split Width Floors</span></div><div><span>23.30 sqft./ctn for Silver</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Split Width Plank: 7 9/16 in.</span></div><div><span>Width of Silver Plank: 5 13/16 in.</span></div><div><span>Matching Color Flush Stairnose available</span></div><div><span>Lifetime limited residential warranty for Silver</span></div></div>,Knoas Flooring,,"AC3 Residential Rating on Split Width Floors,AC4 Commercial Rating for items Silver,Carb Phase 2 Compliance,Light Hand-Scrape Finish,20.60 sqft./ctn for Split Width Floors,23.30 sqft./ctn for Silver,Length of Plank: 48 in.,Width of Split Width Plank: 7 9/16 in.,Width of Silver Plank: 5 13/16 in.,Matching Color Flush Stairnose available,Lifetime limited residential warranty for Silver,19th Century",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/twincity1850.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Hudson18803,Hudson1880,<div><div><span>AC3 Residential Rating on Split Width Floors</span></div><div><span>AC4 Commercial Rating for items Silver</span></div><div><span>Carb Phase 2 Compliance</span></div><div><span>Light Hand-Scrape Finish</span></div><div><span>20.60 sqft./ctn for Split Width Floors</span></div><div><span>23.30 sqft./ctn for Silver</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Split Width Plank: 7 9/16 in.</span></div><div><span>Width of Silver Plank: 5 13/16 in.</span></div><div><span>Matching Color Flush Stairnose available</span></div><div><span>Lifetime limited residential warranty for Silver</span></div></div>,Knoas Flooring,,"AC3 Residential Rating on Split Width Floors,AC4 Commercial Rating for items Silver,Carb Phase 2 Compliance,Light Hand-Scrape Finish,20.60 sqft./ctn for Split Width Floors,23.30 sqft./ctn for Silver,Length of Plank: 48 in.,Width of Split Width Plank: 7 9/16 in.,Width of Silver Plank: 5 13/16 in.,Matching Color Flush Stairnose available,Lifetime limited residential warranty for Silver,19th Century",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/hudson1880.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Whitman18904,Whitman1890,<div><div><span>AC3 Residential Rating on Split Width Floors</span></div><div><span>AC4 Commercial Rating for items Silver</span></div><div><span>Carb Phase 2 Compliance</span></div><div><span>Light Hand-Scrape Finish</span></div><div><span>20.60 sqft./ctn for Split Width Floors</span></div><div><span>23.30 sqft./ctn for Silver</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Split Width Plank: 7 9/16 in.</span></div><div><span>Width of Silver Plank: 5 13/16 in.</span></div><div><span>Matching Color Flush Stairnose available</span></div><div><span>Lifetime limited residential warranty for Silver</span></div></div>,Knoas Flooring,,"AC3 Residential Rating on Split Width Floors,AC4 Commercial Rating for items Silver,Carb Phase 2 Compliance,Light Hand-Scrape Finish,20.60 sqft./ctn for Split Width Floors,23.30 sqft./ctn for Silver,Length of Plank: 48 in.,Width of Split Width Plank: 7 9/16 in.,Width of Silver Plank: 5 13/16 in.,Matching Color Flush Stairnose available,Lifetime limited residential warranty for Silver,19th Century",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/whitman1890.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
75035,7503,<div><div><span>AC3 Residential Rating on Split Width Floors</span></div><div><span>AC4 Commercial Rating for items Silver</span></div><div><span>Carb Phase 2 Compliance</span></div><div><span>Light Hand-Scrape Finish</span></div><div><span>20.60 sqft./ctn for Split Width Floors</span></div><div><span>23.30 sqft./ctn for Silver</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Split Width Plank: 7 9/16 in.</span></div><div><span>Width of Silver Plank: 5 13/16 in.</span></div><div><span>Matching Color Flush Stairnose available</span></div><div><span>Lifetime limited residential warranty for Silver</span></div></div>,Knoas Flooring,,"AC3 Residential Rating on Split Width Floors,AC4 Commercial Rating for items Silver,Carb Phase 2 Compliance,Light Hand-Scrape Finish,20.60 sqft./ctn for Split Width Floors,23.30 sqft./ctn for Silver,Length of Plank: 48 in.,Width of Split Width Plank: 7 9/16 in.,Width of Silver Plank: 5 13/16 in.,Matching Color Flush Stairnose available,Lifetime limited residential warranty for Silver,19th Century",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/7503.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Knmc603Squarecode1,Knmc603Squarecode,<div><div><span>Thickness: 12.3 mm</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Plank: 5 9/16 in.</span></div><div><span>18.57 SQFT per box</span></div><div><span>Certification: Carb Phase 2 Compliance</span></div><div><span>Matching color Flush stairnose available</span></div><div><span>Matching color Full size stair tread available</span></div><div><span>AC3 Residential rating</span></div></div>,Knoas Flooring,,"Thickness: 12.3 mm,Length of Plank: 48 in.,Width of Plank: 5 9/16 in.,18.57 SQFT per box,Certification: Carb Phase 2 Compliance,Matching color Flush stairnose available,Matching color Full size stair tread available,AC3 Residential rating,Albion Collection",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/knmc603squarecode.png,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Knmc604Squarecode2,Knmc604Squarecode,<div><div><span>Thickness: 12.3 mm</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Plank: 5 9/16 in.</span></div><div><span>18.57 SQFT per box</span></div><div><span>Certification: Carb Phase 2 Compliance</span></div><div><span>Matching color Flush stairnose available</span></div><div><span>Matching color Full size stair tread available</span></div><div><span>AC3 Residential rating</span></div></div>,Knoas Flooring,,"Thickness: 12.3 mm,Length of Plank: 48 in.,Width of Plank: 5 9/16 in.,18.57 SQFT per box,Certification: Carb Phase 2 Compliance,Matching color Flush stairnose available,Matching color Full size stair tread available,AC3 Residential rating,Albion Collection",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/knmc604squarecode.png,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Knmr605Squarecode3,Knmr605Squarecode,<div><div><span>Thickness: 12.3 mm</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Plank: 5 9/16 in.</span></div><div><span>18.57 SQFT per box</span></div><div><span>Certification: Carb Phase 2 Compliance</span></div><div><span>Matching color Flush stairnose available</span></div><div><span>Matching color Full size stair tread available</span></div><div><span>AC3 Residential rating</span></div></div>,Knoas Flooring,,"Thickness: 12.3 mm,Length of Plank: 48 in.,Width of Plank: 5 9/16 in.,18.57 SQFT per box,Certification: Carb Phase 2 Compliance,Matching color Flush stairnose available,Matching color Full size stair tread available,AC3 Residential rating,Albion Collection",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/knmr605squarecode.png,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Knms606Squarecode4,Knms606Squarecode,<div><div><span>Thickness: 12.3 mm</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Plank: 5 9/16 in.</span></div><div><span>18.57 SQFT per box</span></div><div><span>Certification: Carb Phase 2 Compliance</span></div><div><span>Matching color Flush stairnose available</span></div><div><span>Matching color Full size stair tread available</span></div><div><span>AC3 Residential rating</span></div></div>,Knoas Flooring,,"Thickness: 12.3 mm,Length of Plank: 48 in.,Width of Plank: 5 9/16 in.,18.57 SQFT per box,Certification: Carb Phase 2 Compliance,Matching color Flush stairnose available,Matching color Full size stair tread available,AC3 Residential rating,Albion Collection",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/knms606squarecode.png,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Knmh608Squarecode5,Knmh608Squarecode,<div><div><span>Thickness: 12.3 mm</span></div><div><span>Length of Plank: 48 in.</span></div><div><span>Width of Plank: 5 9/16 in.</span></div><div><span>18.57 SQFT per box</span></div><div><span>Certification: Carb Phase 2 Compliance</span></div><div><span>Matching color Flush stairnose available</span></div><div><span>Matching color Full size stair tread available</span></div><div><span>AC3 Residential rating</span></div></div>,Knoas Flooring,,"Thickness: 12.3 mm,Length of Plank: 48 in.,Width of Plank: 5 9/16 in.,18.57 SQFT per box,Certification: Carb Phase 2 Compliance,Matching color Flush stairnose available,Matching color Full size stair tread available,AC3 Residential rating,Albion Collection",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://knoasflooring.com/wp-content/uploads/2016/09/knmh608squarecode.png,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
