Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Barrington R8100 5565 Greystone,Barrington R8100 5565 Greystone,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>Lexshield Plus</span></div><div><strong>Pattern Repeat: </strong><span>.6"" X .1""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,Lexshield Plus,.6"" X .1"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/R8100-Barrington_5565-Greystone-e1550079065320.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Barrington R8100 5575 Hillburn,Barrington R8100 5575 Hillburn,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>Lexshield Plus</span></div><div><strong>Pattern Repeat: </strong><span>.6"" X .1""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,Lexshield Plus,.6"" X .1"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/R8100-Barrington_5575-Hillburn-e1550078990646.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Barrington R8100 5585 Oak Grove,Barrington R8100 5585 Oak Grove,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>Lexshield Plus</span></div><div><strong>Pattern Repeat: </strong><span>.6"" X .1""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,Lexshield Plus,.6"" X .1"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/R8100-Barrington_5585-Oak-Grove-e1550078923805.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Barrington R8100 5535 Still Water,Barrington R8100 5535 Still Water,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>Lexshield Plus</span></div><div><strong>Pattern Repeat: </strong><span>.6"" X .1""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,Lexshield Plus,.6"" X .1"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/R8100-Barrington_5535-Still-Water-e1550079108181.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Barrington R8100 5525 Wey Bridge,Barrington R8100 5525 Wey Bridge,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>Lexshield Plus</span></div><div><strong>Pattern Repeat: </strong><span>.6"" X .1""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,Lexshield Plus,.6"" X .1"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/R8100-Barrington_5525-Wey-Bridge-e1550079153796.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Barrington R8100 5545 Wynstone,Barrington R8100 5545 Wynstone,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>Lexshield Plus</span></div><div><strong>Pattern Repeat: </strong><span>.6"" X .1""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet  Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,Lexshield Plus,.6"" X .1"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/Barrington_5545-Wynstone-e1550079196420.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Florence T2102 3584 Driftscape,Florence T2102 3584 Driftscape,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>3M Scotchgard Protector</span></div><div><strong>Pattern Repeat: </strong><span>18"" X 24""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,3M Scotchgard Protector,18"" X 24"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/T2102-Florence-3584-Driftscape-304-305.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Florence T2102 4185 Essential,Florence T2102 4185 Essential,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>3M Scotchgard Protector</span></div><div><strong>Pattern Repeat: </strong><span>18"" X 24""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,3M Scotchgard Protector,18"" X 24"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/T2102-Florence-4185-Essential-723-725.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Florence T2102 3545 Fortune,Florence T2102 3545 Fortune,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>3M Scotchgard Protector</span></div><div><strong>Pattern Repeat: </strong><span>18"" X 24""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,3M Scotchgard Protector,18"" X 24"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/T2102-Florence-3545-Fortune-815-723.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Florence T2102 3538 Granite,Florence T2102 3538 Granite,"<div><div><strong>Fiber: </strong><span>100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber</span></div><div><strong>Gauge: </strong><span>1/10 Gauge - High Gauge Construction</span></div><div><strong>Protection: </strong><span>3M Scotchgard Protector</span></div><div><strong>Pattern Repeat: </strong><span>18"" X 24""</span></div><div><strong>Width: </strong><span>12'</span></div></div>",Lexmark,Carpet,"100% Solution Dyed Primus® Pet Lexsoft Continuous Filament, Non-Fuzzing Fiber,1/10 Gauge - High Gauge Construction,3M Scotchgard Protector,18"" X 24"",12',",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lexmarkcarpet.com/wp-content/uploads/2018/03/T2102-Florence-3538-Granite-808-809.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
