Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Cortona1,Cortona,"<div><div><strong>Item Number: </strong><span>WBEWO14C7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>72” RL</span></div><div><strong>Coverage: </strong><span>29.94 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Nail, Float, Staple</span></div><div><strong>Janka Rating: </strong><span>1360</span></div><div><strong>Variation: </strong><span>High Color Variation</span></div></div>",Lw Flooring,,"WBEWO14C7,European White Oak,Wirebrushed,9/16”,7-1/2”,72” RL,29.94 SF/Ctn,Micro-beveled,Glue, Nail, Float, Staple,1360,High Color Variation,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/cortona-1.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Naples2,Naples,"<div><div><strong>Item Number: </strong><span>WBEWO14N7G</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>73-1/4” RL</span></div><div><strong>Coverage: </strong><span>30.27 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Nail, Float, Staple</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"WBEWO14N7G,European White Oak,Wirebrushed,9/16”,7-1/2”,73-1/4” RL,30.27 SF/Ctn,Micro-beveled,Glue, Nail, Float, Staple,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/naples-jh-13.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Palermo3,Palermo,"<div><div><strong>Item Number: </strong><span>WBEWO14P7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>73-1/4” RL</span></div><div><strong>Coverage: </strong><span>30.27 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Nail, Float, Staple</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"WBEWO14P7,European White Oak,Wirebrushed,9/16”,7-1/2”,73-1/4” RL,30.27 SF/Ctn,Micro-beveled,Glue, Nail, Float, Staple,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/palermo-w-jh-29.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Perugia4,Perugia,"<div><div><strong>Item Number: </strong><span>RCWO14P7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>74-3/4</span></div><div><strong>Coverage: </strong><span>31.09 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Nail, Staple</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"RCWO14P7,European White Oak,Wirebrushed,9/16”,7-1/2”,74-3/4,31.09 SF/Ctn,Micro-beveled,Glue, Nail, Staple,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/perugia-jh-23.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
San-Marino5,San-Marino,"<div><div><strong>Item Number: </strong><span>WBEWO14SM7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>72” RL</span></div><div><strong>Coverage: </strong><span>29.94 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Nail, Float, Staple</span></div><div><strong>Janka Rating: </strong><span>1360</span></div><div><strong>Variation: </strong><span>High Color Variation</span></div></div>",Lw Flooring,,"WBEWO14SM7,European White Oak,Wirebrushed,9/16”,7-1/2”,72” RL,29.94 SF/Ctn,Micro-beveled,Glue, Nail, Float, Staple,1360,High Color Variation,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/san-marino-jh-45.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Venice6,Venice,"<div><div><strong>Item Number: </strong><span>WBEWO14V7G</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>73-1/4” RL</span></div><div><strong>Coverage: </strong><span>30.27 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Nail, Float, Staple</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"WBEWO14V7G,European White Oak,Wirebrushed,9/16”,7-1/2”,73-1/4” RL,30.27 SF/Ctn,Micro-beveled,Glue, Nail, Float, Staple,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/venice-jh-25.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Emilia7,Emilia,"<div><div><strong>Item Number: </strong><span>RCWO14E7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>74-3/4”</span></div><div><strong>Coverage: </strong><span>31.09 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Float</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"RCWO14E7,European White Oak,Wirebrushed,9/16”,7-1/2”,74-3/4”,31.09 SF/Ctn,Micro-beveled,Glue, Float,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/emilia-sj-(10).jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Tuscany8,Tuscany,"<div><div><strong>Item Number: </strong><span>RCWO14T7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>74-3/4""</span></div><div><strong>Coverage: </strong><span>31.09 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Float</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"RCWO14T7,European White Oak,Wirebrushed,9/16”,7-1/2”,74-3/4"",31.09 SF/Ctn,Micro-beveled,Glue, Float,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/tuscany-1.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Urbino9,Urbino,"<div><div><strong>Item Number: </strong><span>RCWO14U7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>74-3/4""</span></div><div><strong>Coverage: </strong><span>31.11 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Float</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"RCWO14U7,European White Oak,Wirebrushed,9/16”,7-1/2”,74-3/4"",31.11 SF/Ctn,Micro-beveled,Glue, Float,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/urbino-jh-15.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Mantua10,Mantua,"<div><div><strong>Item Number: </strong><span>RCWO14M7</span></div><div><strong>Species: </strong><span>European White Oak</span></div><div><strong>Texture: </strong><span>Wirebrushed</span></div><div><strong>Plank Thickness: </strong><span>9/16”</span></div><div><strong>Width: </strong><span>7-1/2”</span></div><div><strong>Length: </strong><span>74-3/4”</span></div><div><strong>Coverage: </strong><span>31.09 SF/Ctn</span></div><div><strong>Edge Detail: </strong><span>Micro-beveled</span></div><div><strong>Installation: </strong><span>Glue, Float</span></div><div><strong>Janka Rating: </strong><span>1360</span></div></div>",Lw Flooring,,"RCWO14M7,European White Oak,Wirebrushed,9/16”,7-1/2”,74-3/4”,31.09 SF/Ctn,Micro-beveled,Glue, Float,1360,renaissance",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.lwflooring.com/assets/mantua-jh-22.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
