Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Midpark Mosaics1,Midpark Mosaics,"<div><div><span>Color: Cloud</span></div><div><span>Sizes: 13x12</span></div><div><span>SKU: MP073RANDMS1P</span></div><div><span>Technology: Glazed Porcelain</span></div><div><span>Application: Mosaic (Rectangle 3""xRandom)</span></div><div><span>Wall Tile Decorative Tile Random Variation Frost Resistant U.S. Green Building Council Member</span></div></div>",Marazzi,Tile,"Cloud,13x12,MP073RANDMS1P,Glazed Porcelain,Mosaic (Rectangle 3""xRandom),Wall Tile Decorative Tile Random Variation Frost Resistant U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/MZ_MP07_3xRndm_Msc_Rectangle_Cloud.jpg?itok=_irz6o6Q,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Caicos2,Caicos,<div><div><span>Color: Crane Beach</span></div><div><span>Sizes: 12-1/2x13</span></div><div><span>SKU: ULMX</span></div><div><span>Technology: Glass</span></div><div><span>Application: Wall Tile</span></div><div><span>Wall Tile Decorative Tile Medium Variation Frost Resistant Abrasion Resistance 0 U.S. Green Building Council Member</span></div></div>,Marazzi,Tile,"Crane Beach,12-1/2x13,ULMX,Glass,Wall Tile,Wall Tile Decorative Tile Medium Variation Frost Resistant Abrasion Resistance 0 U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/Caicos_CraneBeach_Wall.jpg?itok=kOtOMgbh,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sistemc-Citta3,Sistemc-Citta,<div><div><span>Color: Bianco_C</span></div><div><span>Sizes: 4x12</span></div><div><span>SKU: KYWP</span></div><div><span>Technology: Glazed Ceramic</span></div><div><span>Application: Wall Tile</span></div><div><span>Contributes to LEED Credits Wall Tile Decorative Tile Trim Available Shade Variation V0 Abrasion Resistance II No VOC U.S. Green Building Council Member</span></div></div>,Marazzi,Tile,"Bianco_C,4x12,KYWP,Glazed Ceramic,Wall Tile,Contributes to LEED Credits Wall Tile Decorative Tile Trim Available Shade Variation V0 Abrasion Resistance II No VOC U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/sistemc_bianco_0.jpg?itok=-ZSXyOtN,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Studio M4,Studio M,<div><div><span>Color: Flamenco (square)</span></div><div><span>Sizes: 13x13</span></div><div><span>SKU: UJ98</span></div><div><span>Technology: Glass</span></div><div><span>Application: Mosaic (5/8x5/8 Square)</span></div><div><span>Floor Tile Wall Tile Decorative Tile Medium Variation Frost Resistant Abrasion Resistance I U.S. Green Building Council Member</span></div></div>,Marazzi,Tile,"Flamenco (square),13x13,UJ98,Glass,Mosaic (5/8x5/8 Square),Floor Tile Wall Tile Decorative Tile Medium Variation Frost Resistant Abrasion Resistance I U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/StudioM_Flamenco_SquareMosaic_Floor_0.jpg?itok=dsTAohcN,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Predella5,Predella,"<div><div><span>Color: Meta Silver</span></div><div><span>Sizes: 3x9 (M023), 12x24 (M023)</span></div><div><span>Technology: Natural Stone</span></div><div><span>Application: Floor & Wall Tile</span></div><div><span>Finish: Polished & Honed</span></div><div><span>Floor Tile Wall Tile U.S. Green Building Council Member</span></div></div>",Marazzi,Tile,"Meta Silver,3x9 (M023), 12x24 (M023),Natural Stone,Floor & Wall Tile,Polished & Honed,Floor Tile Wall Tile U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/MZ_M023_12x24_MetaSilver.jpg?itok=WFoLLNMj,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Hawthorne6,Hawthorne,"<div><div><span>Color: English Taupe - Bevel</span></div><div><span>Sizes: 4x12-Bevel (HT16), 8x24-Bevel (HT16), 10x14-Bevel (HT16)</span></div><div><span>Technology: Glazed Ceramic</span></div><div><span>Application: Wall Tile</span></div><div><span>Wall Tile Low Variation U.S. Green Building Council Member Pre-Consumer Recycled Content</span></div></div>",Marazzi,Tile,"English Taupe - Bevel,4x12-Bevel (HT16), 8x24-Bevel (HT16), 10x14-Bevel (HT16),Glazed Ceramic,Wall Tile,Wall Tile Low Variation U.S. Green Building Council Member Pre-Consumer Recycled Content",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/MZ_HT16_8x24_Bevel_EnglishTaupe.jpg?itok=L5-GdZ4t,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Nu_Tempo7,Nu_Tempo,<div><div><span>Color: Mocha - Arc</span></div><div><span>Sizes: 4x4</span></div><div><span>SKU: NU04</span></div><div><span>Technology: Glazed Ceramic</span></div><div><span>Application: Wall Tile</span></div><div><span>Wall Tile Low Variation U.S. Green Building Council Member Pre-Consumer Recycled Content Post-Consumer Recycled Content</span></div></div>,Marazzi,Tile,"Mocha - Arc,4x4,NU04,Glazed Ceramic,Wall Tile,Wall Tile Low Variation U.S. Green Building Council Member Pre-Consumer Recycled Content Post-Consumer Recycled Content",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/MZ_NU04_4x4_Arc_Mocha.jpg?itok=DKPJ_Hbp,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Middleton Square8,Middleton Square,<div><div><span>Color: Windsor Cream</span></div><div><span>Sizes: 4-1/4x12-7/8</span></div><div><span>SKU: MS41412MODA1P2</span></div><div><span>Technology: Glazed Ceramic</span></div><div><span>Application: Wall Tile</span></div><div><span>Wall Tile Trim Available Low Variation No VOC U.S. Green Building Council Member Pre-Consumer Recycled Content</span></div></div>,Marazzi,Tile,"Windsor Cream,4-1/4x12-7/8,MS41412MODA1P2,Glazed Ceramic,Wall Tile,Wall Tile Trim Available Low Variation No VOC U.S. Green Building Council Member Pre-Consumer Recycled Content",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/MZ_MS41_4x12_WindsorCream.jpg?itok=dBsSs7G3,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Midpark Mosaics9,Midpark Mosaics,"<div><div><span>Color: Bark</span></div><div><span>Sizes: 13x12</span></div><div><span>SKU: MP093RANDMS1P</span></div><div><span>Technology: Glazed Porcelain</span></div><div><span>Application: Mosaic (Rectangle 3""xRandom)</span></div><div><span>Wall Tile Decorative Tile Random Variation Frost Resistant U.S. Green Building Council Member</span></div></div>",Marazzi,Tile,"Bark,13x12,MP093RANDMS1P,Glazed Porcelain,Mosaic (Rectangle 3""xRandom),Wall Tile Decorative Tile Random Variation Frost Resistant U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/MZ_MP09_3xRndm_Msc_Rectangle_Bark.jpg?itok=7Lpo3H0S,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Catwalk10,Catwalk,<div><div><span>Color: Pecan Pump</span></div><div><span>Sizes: 12x12</span></div><div><span>SKU: UJ9W</span></div><div><span>Technology: Glass</span></div><div><span>Application: Wall Tile</span></div><div><span>Wall Tile Decorative Tile High Variation Frost Resistant U.S. Green Building Council Member</span></div></div>,Marazzi,Tile,"Pecan Pump,12x12,UJ9W,Glass,Wall Tile,Wall Tile Decorative Tile High Variation Frost Resistant U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/Catwalk_PecanPump_Wall_0.jpg?itok=wNVCikkd,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Midpark Mosaics11,Midpark Mosaics,"<div><div><span>Color: Shadow</span></div><div><span>Sizes: 13x13</span></div><div><span>SKU: MP102RANDMS1P</span></div><div><span>Technology: Glazed Porcelain</span></div><div><span>Application: Mosaic (Square 2""xRandom)</span></div><div><span>Wall Tile Decorative Tile Random Variation Frost Resistant U.S. Green Building Council Member</span></div></div>",Marazzi,Tile,"Shadow,13x13,MP102RANDMS1P,Glazed Porcelain,Mosaic (Square 2""xRandom),Wall Tile Decorative Tile Random Variation Frost Resistant U.S. Green Building Council Member",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.marazziusa.com/sites/default/files/styles/sku_large/public/MZ_MP10_2xRndm_Msc_Square_Shadow.jpg?itok=cssrHt8l,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
