Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Onyx1,Brayden Hill Onyx,"<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Material: </strong><span>Porcelain. Dense material resists moisture, stains & wear.</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>PEI Wear Rating: </strong><span>4</span></div><div><strong>Sizes: </strong><span>12x3, 20x20, 24x12</span></div></div>",Mohawk Flooring,,"4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 20x20, 24x12,4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 20x20, 24x12",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17336,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17336,,,
Vanity2,Brayden Hill Vanity,"<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Material: </strong><span>Porcelain. Dense material resists moisture, stains & wear.</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>PEI Wear Rating: </strong><span>4</span></div><div><strong>Sizes: </strong><span>12x3, 24x12, 20x20</span></div></div>",Mohawk Flooring,,"4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 24x12, 20x20,4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 24x12, 20x20",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17333,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17333,,,
Cameo3,Brayden Hill Cameo,"<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Material: </strong><span>Porcelain. Dense material resists moisture, stains & wear.</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>PEI Wear Rating: </strong><span>4</span></div><div><strong>Sizes: </strong><span>12x3, 20x20, 24x12</span></div></div>",Mohawk Flooring,,"4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 20x20, 24x12,4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 20x20, 24x12",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17334,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17334,,,
Orion4,Brayden Hill Orion,"<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Material: </strong><span>Porcelain. Dense material resists moisture, stains & wear.</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>PEI Wear Rating: </strong><span>4</span></div><div><strong>Sizes: </strong><span>12x3, 24x12, 20x20</span></div></div>",Mohawk Flooring,,"4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 24x12, 20x20,4,Porcelain. Dense material resists moisture, stains & wear.,Floor & Backsplash,Indoor, Covered Outdoor & Outdoor. Tough glaze & traction in rain & snow, suits indoor looks.,3/16"",4,12x3, 24x12, 20x20",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17335,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17335,,,
Gris5,Senato Floor Gris,"<div><div><strong>Available Colors: </strong><span>2</span></div><div><strong>Material: </strong><span>Porcelain Floor</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor & Covered Outdoor. Resists water & temperature changes.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>PEI Wear Rating: </strong><span>3</span></div><div><strong>Sizes: </strong><span>24x24, 12x3, 14x10, 12x12, 24x12, 18x18, 10x3, 3x3</span></div></div>",Mohawk Flooring,,"2,Porcelain Floor,Floor & Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.,3/16"",3,24x24, 12x3, 14x10, 12x12, 24x12, 18x18, 10x3, 3x3,2,Porcelain Floor,Floor & Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.,3/16"",3,24x24, 12x3, 14x10, 12x12, 24x12, 18x18, 10x3, 3x3",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16469,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16469,,,
Blanc6,Senato Floor Blanc,"<div><div><strong>Available Colors: </strong><span>2</span></div><div><strong>Material: </strong><span>Porcelain Floor</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor & Covered Outdoor. Resists water & temperature changes.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>PEI Wear Rating: </strong><span>3</span></div><div><strong>Sizes: </strong><span>24x24, 12x3, 14x10, 12x12, 24x12, 18x18, 10x3, 3x3</span></div></div>",Mohawk Flooring,,"2,Porcelain Floor,Floor & Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.,3/16"",3,24x24, 12x3, 14x10, 12x12, 24x12, 18x18, 10x3, 3x3,2,Porcelain Floor,Floor & Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.,3/16"",3,24x24, 12x3, 14x10, 12x12, 24x12, 18x18, 10x3, 3x3",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16467,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16467,,,
Grey Shell7,Crystal Coves Grey Shell,"<div><div><strong>Available Colors: </strong><span>3</span></div><div><strong>Material: </strong><span>Accent Statements</span></div><div><strong>Application: </strong><span>Backsplash</span></div><div><strong>Location: </strong><span>Indoor & Covered Outdoor. Resists water & temperature changes.</span></div><div><strong>Grout Width: </strong><span>1/8""</span></div><div><strong>Thickness: </strong><span>5/16""</span></div></div>",Mohawk Flooring,,"3,Accent Statements,Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.,1/8"",5/16"",3,Accent Statements,Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.,1/8"",5/16""",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T16525,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T16525,,,
Taupe8,Saint Dennis Taupe,"<div><div><strong>Available Colors: </strong><span>3</span></div><div><strong>Material: </strong><span>Stone, Glass Mosaic</span></div><div><strong>Application: </strong><span>Backsplash</span></div><div><strong>Location: </strong><span>Indoor & Covered Outdoor. Resists water & temperature changes.</span></div></div>",Mohawk Flooring,,"3,Stone, Glass Mosaic,Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.,3,Stone, Glass Mosaic,Backsplash,Indoor & Covered Outdoor. Resists water & temperature changes.",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17001,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/T17001,,,
Ecru Beige9,Scotland Stone Ecru Beige,"<div><div><strong>Available Colors: </strong><span>2</span></div><div><strong>Material: </strong><span>Ceramic. Attractive, affordable marble & stone looks.</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor. Durable & low maintenance, best for indirect sunlight.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>Thickness: </strong><span>5/16""</span></div><div><strong>PEI Wear Rating: </strong><span>3</span></div><div><strong>Sizes: </strong><span>13x13, 13x3, 3x3, 24x12, 18x18</span></div></div>",Mohawk Flooring,,"2,Ceramic. Attractive, affordable marble & stone looks.,Floor & Backsplash,Indoor. Durable & low maintenance, best for indirect sunlight.,3/16"",5/16"",3,13x13, 13x3, 3x3, 24x12, 18x18,2,Ceramic. Attractive, affordable marble & stone looks.,Floor & Backsplash,Indoor. Durable & low maintenance, best for indirect sunlight.,3/16"",5/16"",3,13x13, 13x3, 3x3, 24x12, 18x18",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16906Z,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16906Z,,,
Ivory Creme10,Scotland Stone Ivory Creme,"<div><div><strong>Available Colors: </strong><span>2</span></div><div><strong>Material: </strong><span>Ceramic. Attractive, affordable marble & stone looks.</span></div><div><strong>Application: </strong><span>Floor & Backsplash</span></div><div><strong>Location: </strong><span>Indoor. Durable & low maintenance, best for indirect sunlight.</span></div><div><strong>Grout Width: </strong><span>3/16""</span></div><div><strong>Thickness: </strong><span>5/16""</span></div><div><strong>PEI Wear Rating: </strong><span>3</span></div><div><strong>Sizes: </strong><span>13x13, 13x3, 3x3, 24x12, 18x18</span></div></div>",Mohawk Flooring,,"2,Ceramic. Attractive, affordable marble & stone looks.,Floor & Backsplash,Indoor. Durable & low maintenance, best for indirect sunlight.,3/16"",5/16"",3,13x13, 13x3, 3x3, 24x12, 18x18,2,Ceramic. Attractive, affordable marble & stone looks.,Floor & Backsplash,Indoor. Durable & low maintenance, best for indirect sunlight.,3/16"",5/16"",3,13x13, 13x3, 3x3, 24x12, 18x18",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16904Z,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/TAD16904Z,,,
