Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Gravelstone1,Southbury Gravelstone,<div><div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Light</span></div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_03,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_03,,,
French Beige2,Southbury French Beige,<div><div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Medium</span></div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_01,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_01,,,
Medieval Gray3,Southbury Medieval Gray,<div><div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Medium</span></div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_02,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_02,,,
Cavalry4,Southbury Cavalry,<div><div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_04,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_04,,,
Buff5,Southbury Buff,<div><div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Light</span></div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light,5,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Light,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_05,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL85_05,,,
Asher Gray Oak6,Elderwood Asher Gray Oak,<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_3,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_3,,,
Sandbank Oak7,Elderwood Sandbank Oak,<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_1,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_1,,,
Bungalow Oak8,Elderwood Bungalow Oak,<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Medium,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_2,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_2,,,
Aged Copper Oak9,Elderwood Aged Copper Oak,<div><div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Dark</span></div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Dark,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Embossed in Register (EIR),Dark,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_4,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL80_4,,,
Espresso Bark Oak10,Antique Craft Espresso Bark Oak,<div><div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>9.44 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium,5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium,RevWood Plus",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_3,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_3,,,
