Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autumn Gold1,Autumn Gold,"<div><div><strong>Product code: </strong><span>COBI95AG</span></div><div><span>Species: Birch - Hand Scraped</span></div><div><span>Description: 3/8"" x 5""</span></div><div><span>Carton Size: 36.39 sf</span></div><div><span>Janka Rating: 1,010 - 1,200</span></div><div><span>Warranty: 25 Year Finish / Lifetime Structural</span></div></div>",Prestige,Hardwood,"Birch - Hand Scraped,3/8"" x 5"",36.39 sf,1,010 - 1,200,25 Year Finish / Lifetime Structural",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Autumn_Gold_-_COBI95AG-resized_1024x1024.jpg?v=1545262239,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Black Forest1,Black Forest,"<div><div><strong>Product code: </strong><span>COBI95BF</span></div><div><span>Species: Birch - Hand Scraped</span></div><div><span>Description: 3/8"" x 5""</span></div><div><span>Carton Size: 36.39 sf</span></div><div><span>Janka Rating: 1,010 - 1,200</span></div><div><span>Warranty: 25 Year Finish / Lifetime Structural</span></div></div>",Prestige,Hardwood,"Birch - Hand Scraped,3/8"" x 5"",36.39 sf,1,010 - 1,200,25 Year Finish / Lifetime Structural",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Black_Forest_-_COBI95BF-resized_1024x1024.jpg?v=1545262241,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Antique Brown1,Antique Brown,"<div><div><strong>Product code: </strong><span>COBI95AB</span></div><div><span>Species: Birch - Hand Scraped</span></div><div><span>Description: 3/8"" x 5""</span></div><div><span>Carton Size: 36.39 sf</span></div><div><span>Janka Rating: 1,010 - 1,200</span></div><div><span>Warranty: 25 Year Finish / Lifetime Structural</span></div></div>",Prestige,Hardwood,"Birch - Hand Scraped,3/8"" x 5"",36.39 sf,1,010 - 1,200,25 Year Finish / Lifetime Structural",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Antique_Brown_-_COBI95AB-resized_1024x1024.jpg?v=1545262236,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Suede1,Suede,"<div><div><strong>Product code: </strong><span>COBI95SU</span></div><div><span>Species: Birch - Hand Scraped</span></div><div><span>Description: 3/8"" x 5""</span></div><div><span>Carton Size: 36.39 sf</span></div><div><span>Janka Rating: 1,010 - 1,200</span></div><div><span>Warranty: 25 Year Finish / Lifetime Structural</span></div></div>",Prestige,Hardwood,"Birch - Hand Scraped,3/8"" x 5"",36.39 sf,1,010 - 1,200,25 Year Finish / Lifetime Structural",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Suede_-_COBI95SU-resized_1024x1024.jpg?v=1545262249,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Shoreline1,Shoreline,"<div><div><strong>Product code: </strong><span>COBI95SH</span></div><div><span>Species: Birch - Hand Scraped</span></div><div><span>Description: 3/8"" x 5""</span></div><div><span>Carton Size: 36.39 sf</span></div><div><span>Janka Rating: 1,010 - 1,200</span></div><div><span>Warranty: 25 Year Finish / Lifetime Structural</span></div></div>",Prestige,Hardwood,"Birch - Hand Scraped,3/8"" x 5"",36.39 sf,1,010 - 1,200,25 Year Finish / Lifetime Structural",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Shoreline_-_COBI95SH-resized_1024x1024.jpg?v=1545262247,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Anchor Gray1,Anchor Gray,"<div><div><strong>Product code: </strong><span>COBI95AN</span></div><div><span>Species: Birch - Hand Scraped</span></div><div><span>Description: 3/8"" x 5""</span></div><div><span>Carton Size: 36.39 sf</span></div><div><span>Janka Rating: 1,010 - 1,200</span></div><div><span>Warranty: 25 Year Finish / Lifetime Structural</span></div></div>",Prestige,Hardwood,"Birch - Hand Scraped,3/8"" x 5"",36.39 sf,1,010 - 1,200,25 Year Finish / Lifetime Structural",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Anchor_Gray_-_COBI95AN-resized_1024x1024.jpg?v=1545262234,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Riverbend1,Riverbend,"<div><div><strong>Product code: </strong><span>COBI95RB</span></div><div><span>Species: Birch - Hand Scraped</span></div><div><span>Description: 3/8"" x 5""</span></div><div><span>Carton Size: 36.39 sf</span></div><div><span>Janka Rating: 1,010 - 1,200</span></div><div><span>Warranty: 25 Year Finish / Lifetime Structural</span></div></div>",Prestige,Hardwood,"Birch - Hand Scraped,3/8"" x 5"",36.39 sf,1,010 - 1,200,25 Year Finish / Lifetime Structural",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Riverbend_-_COBI95RB-resized_1024x1024.jpg?v=1545262244,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Fusion White2,Fusion White,"<div><div><strong>Product code: </strong><span>20712A</span></div><div><span>Size: 6.5"" x 40""</span></div><div><span>Description: Porcelain | Rectified</span></div><div><span>Carton: 12.16 SF</span></div></div>",Prestige,Tile,"6.5"" x 40"",Porcelain | Rectified, 12.16 SF",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Fusion_White-resized_1024x1024.jpg?v=1546462044,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rustique Natural2,Rustique Natural,"<div><div><strong>Product code: </strong><span>20563A</span></div><div><span>Size: 6.5"" x 40""</span></div><div><span>Description: Porcelain | Rectified</span></div><div><span>Carton: 12.16 SF</span></div></div>",Prestige,Tile,"6.5"" x 40"",Porcelain | Rectified, 12.16 SF",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Natural-resized_1024x1024.jpg?v=1546462046,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rustique Rouge2,Rustique Rouge,"<div><div><strong>Product code: </strong><span>20565A</span></div><div><span>Size: 6.5"" x 40""</span></div><div><span>Description: Porcelain | Rectified</span></div><div><span>Carton: 12.16 SF</span></div></div>",Prestige,Tile,"6.5"" x 40"",Porcelain | Rectified, 12.16 SF",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://cdn.shopify.com/s/files/1/0841/1545/products/Rouge-resized_1024x1024.jpg?v=1546462048,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
