Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Golden Walnut REPEGW1,Golden Walnut REPEGW,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 25 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 17.27 SF</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Crystal Semi Glass</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 31</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin Click</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA or 3mm Silver Foil</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 25 Years Residential, 47-13/16” (1215), 17.27 SF, Laminate, Crystal Semi Glass, AC-3 Class 31, Residential, Unilin Click, Antistatic, 3mm EVA or 3mm Silver Foil, approx 40%,Crystal Clear",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_6c4d01eeff9b44e1a3d664ac1c5261ed.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Wild Walnut REPEWW2,Wild Walnut REPEWW,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 25 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 17.27 SF</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Crystal Semi Glass</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 31</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin Click</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA or 3mm Silver Foil</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 25 Years Residential, 47-13/16” (1215), 17.27 SF, Laminate, Crystal Semi Glass, AC-3 Class 31, Residential, Unilin Click, Antistatic, 3mm EVA or 3mm Silver Foil, approx 40%,Crystal Clear",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_eab81fb9291b46c1b252596e4b163943.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Patigonian Rosewood REPEPR123,Patigonian Rosewood REPEPR12,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 25 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 17.27 SF</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Crystal Semi Glass</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 31</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin Click</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA or 3mm Silver Foil</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 25 Years Residential, 47-13/16” (1215), 17.27 SF, Laminate, Crystal Semi Glass, AC-3 Class 31, Residential, Unilin Click, Antistatic, 3mm EVA or 3mm Silver Foil, approx 40%,Crystal Clear",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_66283c1b6c1f46daa4b954f21fe28bba.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Dark Wenge REWJM734,Dark Wenge REWJM73,<div><div><strong>Edge Profile: </strong><span> Four Side V Groove</span></div><div><strong>Warranty: </strong><span> Limited 25 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 17.33 SF</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Crystal Semi Glass or Eir</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 31</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin click</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA or 3mm Silver Foil</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side V Groove, Limited 25 Years Residential, 47-13/16” (1215), 17.33 SF, Laminate, Crystal Semi Glass or Eir, AC-3 Class 31, Residential, Unilin click, Antistatic, 3mm EVA or 3mm Silver Foil, approx 40%,U.S Prestige",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_339bcd8e8f144521aca52b30ad29fbaf.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Midnight Hickory REMH205,Midnight Hickory REMH20,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 25 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 17.33 SF</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Crystal Semi Glass or Eir</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 31</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin click</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA or 3mm Silver Foil</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 25 Years Residential, 47-13/16” (1215), 17.33 SF, Laminate, Crystal Semi Glass or Eir, AC-3 Class 31, Residential, Unilin click, Antistatic, 3mm EVA or 3mm Silver Foil, approx 40%,U.S Prestige",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_431194d19e2a429e8886f10abcc5151f.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Nightfall HIckory RENH606,Nightfall HIckory RENH60,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 25 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 17.33 SF</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Crystal Semi Glass or Eir</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 31</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin click</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA or 3mm Silver Foil</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 25 Years Residential, 47-13/16” (1215), 17.33 SF, Laminate, Crystal Semi Glass or Eir, AC-3 Class 31, Residential, Unilin click, Antistatic, 3mm EVA or 3mm Silver Foil, approx 40%,U.S Prestige",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_ae665bd78e1640ebb65c71133b964a60.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
RUSTIC APPLE RERA210-L7,RUSTIC APPLE RERA210-L,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 30 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 15/32”  (12mm)</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Matt Embossing</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 32</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 30 Years Residential, 47-13/16” (1215), 15/32”  (12mm), Laminate, Matt Embossing, AC-3 Class 32, Residential, Unilin, Antistatic, 3mm EVA, approx 40%,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_55accfaba27c42da8b19bcfcbbe96938~mv2.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
GOLDEN APPLE REGA220-L8,GOLDEN APPLE REGA220-L,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 30 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 15/32”  (12mm)</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Matt Embossing</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 32</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 30 Years Residential, 47-13/16” (1215), 15/32”  (12mm), Laminate, Matt Embossing, AC-3 Class 32, Residential, Unilin, Antistatic, 3mm EVA, approx 40%,Platinum Series",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_54a4165b1af648f28711e5bd8d3a2061~mv2_d_5348_2803_s_4_2.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
OKLAHOMA BIRCH REOB230-L9,OKLAHOMA BIRCH REOB230-L,<div><div><strong>: </strong><span></span></div></div>,Republic Floor,Laminated,",Platinum Series",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_b8bb9cdec71049df87f2f9232b2aec9f~mv2.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
NEW YORK BIRCH RENY250-L10,NEW YORK BIRCH RENY250-L,<div><div><strong>Edge Profile: </strong><span> Four Side Pressed Edge</span></div><div><strong>Warranty: </strong><span> Limited 30 Years Residential</span></div><div><strong>Length: </strong><span> 47-13/16” (1215)</span></div><div><strong>Thickness: </strong><span> 15/32”  (12mm)</span></div><div><strong>Construction: </strong><span> Laminate</span></div><div><strong>Finish: </strong><span> Matt Embossing</span></div><div><strong>Abrasion Resistance: </strong><span> AC-3 Class 32</span></div><div><strong>Recommended Usage: </strong><span> Residential</span></div><div><strong>Installation: </strong><span> Unilin</span></div><div><strong>Electrostatic Behaviour: </strong><span> Antistatic</span></div><div><strong>Recommended Underlayment: </strong><span> 3mm EVA</span></div><div><strong>Room Sound improvement with 3mm EVA: </strong><span> approx 40%</span></div></div>,Republic Floor,Laminated," Four Side Pressed Edge, Limited 30 Years Residential, 47-13/16” (1215), 15/32”  (12mm), Laminate, Matt Embossing, AC-3 Class 32, Residential, Unilin, Antistatic, 3mm EVA, approx 40%,Platinum Series",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://static.wixstatic.com/media/942396_f686bbdfc4d34e8d9c5c008e85ac7a64~mv2.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
