Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Antique Ice RESL51011,Antique Ice RESL5101,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_266,h_133,al_c,q_80,usm_0.66_1.00_0.01/Rigid%20core.webp",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Bross Blue RESL51022,Bross Blue RESL5102,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Lemon Ice RESL51033,Lemon Ice RESL5103,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Amazon Grey RESL51044,Amazon Grey RESL5104,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Dynamic Beige RESL51055,Dynamic Beige RESL5105,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_266,h_133,al_c,q_80,usm_0.66_1.00_0.01/Rigid%20core.webp",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sahara Beige REGP52016,Sahara Beige REGP5201,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Safari Brown REGP52027,Safari Brown REGP5202,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Silver Pearl REGP52038,Silver Pearl REGP5203,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sydney Cedar REGP52049,Sydney Cedar REGP5204,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Super Gray REGP520510,Super Gray REGP5205,"<div><div><strong>Surface: </strong><span> Wooden Texture + Micro Bevel</span></div><div><strong>Planks length: </strong><span> 1500mm (59-1/16"")</span></div><div><strong>Planks width: </strong><span> 228mm (8-31/32"")</span></div><div><strong>Residential warranty: </strong><span> Limited 25 Years</span></div><div><strong>Commercial warranty: </strong><span> Limited 10 Years</span></div><div><strong>Total Thickness: </strong><span> 6mm</span></div><div><strong>(Including 1.5mm anti-bacterial acoustic underlayment).: </strong><span>(Including 1.5mm anti-bacterial acoustic underlayment)</span></div><div><strong>Box Size: </strong><span> 25.77 SQF</span></div><div><strong>Finish: </strong><span> Aluminium Oxide UV+Ceramic beads</span></div><div><strong>Wear layer: </strong><span> 0.5mm/20mil</span></div><div><strong>Installation method: </strong><span> Glueless Floating</span></div><div><strong>Installation level: </strong><span> All Grades</span></div></div>",Republic Floor,Vinyl," Wooden Texture + Micro Bevel, 1500mm (59-1/16""), 228mm (8-31/32""), Limited 25 Years, Limited 10 Years, 6mm,(Including 1.5mm anti-bacterial acoustic underlayment), 25.77 SQF, Aluminium Oxide UV+Ceramic beads, 0.5mm/20mil, Glueless Floating, All Grades,",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://static.wixstatic.com/media/942396_da73d4ea019a41f992e7a05806a3f189~mv2.png/v1/fill/w_160,h_80,al_c,usm_0.66_1.00_0.01,blur_2/Rigid%20core.png",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
