Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Eastwick1,Eastwick,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>SA396 SYNTHESIS </span></div><div><strong>Color: </strong><span>00727 EASTWICK </span></div><div><strong>Collection: </strong><span>Quarry</span></div><div><strong>Construction: </strong><span>RESIDENTIAL RESILIENT LVT - DRYBAC&gt;2MM</span></div><div><strong>Width: </strong><span>7.00  in. </span></div><div><strong>Length: </strong><span>36.00  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Wear Layer: </strong><span>20 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>Korea</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,SA396 SYNTHESIS ,00727 EASTWICK ,Quarry,RESIDENTIAL RESILIENT LVT - DRYBAC&gt;2MM,7.00  in. ,36.00  in. ,ABOVE, ON, BELOW              ,20 MIL,NO,Korea,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,SYNTHESIS",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sabbia2,Sabbia,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>523SA SABINE HILL PLUS </span></div><div><strong>Color: </strong><span>00161 SABBIA </span></div><div><strong>Collection: </strong><span>Floorte</span></div><div><strong>Construction: </strong><span>WPC</span></div><div><strong>Width: </strong><span>7.08  in. </span></div><div><strong>Length: </strong><span>48.03  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Wear Layer: </strong><span>12 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,523SA SABINE HILL PLUS ,00161 SABBIA ,Floorte,WPC,7.08  in. ,48.03  in. ,ABOVE, ON, BELOW              ,12 MIL,NO,China,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,SABINE HILL PLUS",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/523SA_00161_ROOM?id=WFErE3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Peachtree Street3,Peachtree Street,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>0505V UPTOWN 12MIL </span></div><div><strong>Color: </strong><span>00216 PEACHTREE STREET </span></div><div><strong>Collection: </strong><span>Array</span></div><div><strong>Construction: </strong><span>RESIDENTIAL RESILIENT LVT - DRYBAC&gt;2MM</span></div><div><strong>Width: </strong><span>5.96  in. </span></div><div><strong>Length: </strong><span>48.00  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Wear Layer: </strong><span>12 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,0505V UPTOWN 12MIL ,00216 PEACHTREE STREET ,Array,RESIDENTIAL RESILIENT LVT - DRYBAC&gt;2MM,5.96  in. ,48.00  in. ,ABOVE, ON, BELOW              ,12 MIL,NO,China,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,UPTOWN 12MIL",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/0505V_00216_ROOM?id=HbBrM0&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Canyon4,Canyon,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>0835V MINERAL MIX 720C PLUS </span></div><div><strong>Color: </strong><span>00788 CANYON </span></div><div><strong>Collection: </strong><span>Floorte Pro</span></div><div><strong>Construction: </strong><span>SPC</span></div><div><strong>Width: </strong><span>12.00  in. </span></div><div><strong>Length: </strong><span>24.00  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Wear Layer: </strong><span>20 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,0835V MINERAL MIX 720C PLUS ,00788 CANYON ,Floorte Pro,SPC,12.00  in. ,24.00  in. ,ABOVE, ON, BELOW              ,20 MIL,NO,China,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,MINERAL MIX 720C PLUS",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/0835V_00788_ROOM?id=W7WrK1&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Amber Oak5,Amber Oak,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>509SA PARAMOUNT 512C PLUS </span></div><div><strong>Color: </strong><span>00820 AMBER OAK </span></div><div><strong>Collection: </strong><span>Floorte Pro</span></div><div><strong>Construction: </strong><span>SPC</span></div><div><strong>Width: </strong><span>7.00  in. </span></div><div><strong>Length: </strong><span>48.03  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Wear Layer: </strong><span>12 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,509SA PARAMOUNT 512C PLUS ,00820 AMBER OAK ,Floorte Pro,SPC,7.00  in. ,48.03  in. ,ABOVE, ON, BELOW              ,12 MIL,NO,China,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,PARAMOUNT 512C PLUS",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/509SA_00820_ROOM?id=VvxrV3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Louisiana6,Louisiana,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>SA622 ARCHIPELAGO 12 </span></div><div><strong>Color: </strong><span>00508 LOUISIANA </span></div><div><strong>Collection: </strong><span>DuraTru</span></div><div><strong>Construction: </strong><span>RESIDENTIAL RESILIENT - SHEET</span></div><div><strong>Width: </strong><span>12.00  ft. </span></div><div><strong>Wear Layer: </strong><span>12 Mil</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,SA622 ARCHIPELAGO 12 ,00508 LOUISIANA ,DuraTru,RESIDENTIAL RESILIENT - SHEET,12.00  ft. ,12 Mil,NO,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,ARCHIPELAGO 12",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA622_00508_ROOM?id=oKdsL1&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Technology7,Technology,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>5M207 THOROUGHLY MO ELITE </span></div><div><strong>Color: </strong><span>00247 TECHNOLOGY </span></div><div><strong>Collection: </strong><span>5th and Main</span></div><div><strong>Construction: </strong><span>RESIDENTIAL RESILIENT LVT-DRYBAC&lt;=2MM</span></div><div><strong>Width: </strong><span>5.90  in. </span></div><div><strong>Length: </strong><span>36.22  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Wear Layer: </strong><span>20 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>Korea</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,5M207 THOROUGHLY MO ELITE ,00247 TECHNOLOGY ,5th and Main,RESIDENTIAL RESILIENT LVT-DRYBAC&lt;=2MM,5.90  in. ,36.22  in. ,ABOVE, ON, BELOW              ,20 MIL,NO,Korea,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,THOROUGHLY MO ELITE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/5M207_00247_ROOM?id=xsmr93&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rock City8,Rock City,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>SA615 WALDEN RIDGE </span></div><div><strong>Color: </strong><span>00670 ROCK CITY </span></div><div><strong>Collection: </strong><span>Array</span></div><div><strong>Construction: </strong><span>RESIDENTIAL RESILIENT LVT-CLICK</span></div><div><strong>Width: </strong><span>5.90  in. </span></div><div><strong>Length: </strong><span>48.03  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Wear Layer: </strong><span>12 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,SA615 WALDEN RIDGE ,00670 ROCK CITY ,Array,RESIDENTIAL RESILIENT LVT-CLICK,5.90  in. ,48.03  in. ,ABOVE, ON, BELOW              ,12 MIL,NO,China,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,WALDEN RIDGE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA615_00670_ROOM?id=9_Gro3&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Waldorf9,Waldorf,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>SA627 CITY PARK </span></div><div><strong>Color: </strong><span>00625 WALDORF </span></div><div><strong>Collection: </strong><span>DuraTru</span></div><div><strong>Construction: </strong><span>RESIDENTIAL RESILIENT - SHEET</span></div><div><strong>Width: </strong><span>12.00  ft. </span></div><div><strong>Wear Layer: </strong><span>20 Mil</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,SA627 CITY PARK ,00625 WALDORF ,DuraTru,RESIDENTIAL RESILIENT - SHEET,12.00  ft. ,20 Mil,NO,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,CITY PARK",TRUE,,,,,,,1,,,0,deny,manual,,,,,,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA627_00625_ROOM?id=UyIr72&fmt=jpg&fit=constrain,1&wid=998&hei=748",,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Crete10,Crete,"<div><div><strong>Flooring Type: </strong><span>Resilient</span></div><div><strong>Style: </strong><span>SA387 ODYSSEY TILE </span></div><div><strong>Color: </strong><span>00112 CRETE </span></div><div><strong>Collection: </strong><span>Quarry</span></div><div><strong>Construction: </strong><span>RESIDENTIAL RESILIENT LVT - DRYBAC&gt;2MM</span></div><div><strong>Width: </strong><span>12.00  in. </span></div><div><strong>Length: </strong><span>24.00  in. </span></div><div><strong>Installation Grade: </strong><span>ABOVE, ON, BELOW              </span></div><div><strong>Surface Texture: </strong><span>Stone Visual</span></div><div><strong>Wear Layer: </strong><span>12 MIL</span></div><div><strong>Made in the USA: </strong><span>NO</span></div><div><strong>Country Of Origin: </strong><span>China</span></div><div><strong>VOC: </strong><span>Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.</span></div></div>",Shaw Flooring,Vinyl,"Resilient,SA387 ODYSSEY TILE ,00112 CRETE ,Quarry,RESIDENTIAL RESILIENT LVT - DRYBAC&gt;2MM,12.00  in. ,24.00  in. ,ABOVE, ON, BELOW              ,Stone Visual,12 MIL,NO,China,Shaw Industries and each of its brands carefully consider the impact of our products throughout their lifecycle. The resilient (vinyl) products we sell - whether manufactured by Shaw or sourced from others, both residential and commercial - contain no ortho-phthalate plasticizers (including benzyl butyl phthalate). Our resilient products are also formulated using only virgin vinyl polymer to avoid the challenges of legacy chemicals that often come with post-consumer recycled content in this product category.,ODYSSEY TILE",TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
