Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Weathered1,Weathered,"<div><div><strong>Look: </strong><span>Wood</span></div><div><strong>Color Name: </strong><span>Weathered</span></div><div><strong>Color Tones: </strong><span>Gray|Off-White|Taupe</span></div><div><strong>Product Shape: </strong><span>Plank</span></div><div><strong>Size (ft/in): </strong><span>8.74 X 59.45</span></div><div><strong>Size (mm): </strong><span>222 X 1510.03</span></div><div><strong>Sq ft/Box: </strong><span>18.041</span></div><div><strong>Thickness (mm): </strong><span>7.5</span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>N</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span>Clawshield, Underlayment Material Cork</span></div></div>",StainMaster,Vinyl Luxury,"Wood,Weathered,Gray|Off-White|Taupe,Plank,8.74 X 59.45,222 X 1510.03,18.041,7.5,Y,N,Y,Clawshield, Underlayment Material Cork,Floating Click Fold Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/PetProtect%20Vinyl/Weathered.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Cascade Slate2,Cascade Slate,<div><div><strong>Look: </strong><span>Stone</span></div><div><strong>Color Name: </strong><span>Cascade Slate</span></div><div><strong>Color Tones: </strong><span>Gray|Taupe|Off-White</span></div><div><strong>Product Shape: </strong><span>Rectangle Tile</span></div><div><strong>Size (ft/in): </strong><span>11.75 X 23.75</span></div><div><strong>Size (mm): </strong><span>298.45 X 603.25</span></div><div><strong>Sq ft/Box: </strong><span>15.50347222</span></div><div><strong>Thickness (mm): </strong><span>6</span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>N</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>,StainMaster,Vinyl Luxury,"Stone,Cascade Slate,Gray|Taupe|Off-White,Rectangle Tile,11.75 X 23.75,298.45 X 603.25,15.50347222,6,Y,N,Y,,Floating Click Fold Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/PetProtect%20Vinyl/C09016_Novalis_Phenix_CascadeSlate_1280x1280.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Nantucket3,Nantucket,<div><div><strong>Look: </strong><span>Stone</span></div><div><strong>Color Name: </strong><span>Nantucket</span></div><div><strong>Color Tones: </strong><span>Black|Brown|Gray|Off-White|Orange|Tan|White</span></div><div><strong>Product Shape: </strong><span>Rectangle Tile</span></div><div><strong>Size (ft/in): </strong><span>12 X 24</span></div><div><strong>Size (mm): </strong><span>304.8 X 609.8</span></div><div><strong>Sq ft/Box: </strong><span>36</span></div><div><strong>Thickness (mm): </strong><span></span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>Y</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>,StainMaster,Vinyl Luxury,"Stone,Nantucket,Black|Brown|Gray|Off-White|Orange|Tan|White,Rectangle Tile,12 X 24,304.8 X 609.8,36,,Y,Y,Y,,Self Stick",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/STAINMASTER%20Vinyl/Nantucket.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sequoia4,Sequoia,<div><div><strong>Look: </strong><span>Wood</span></div><div><strong>Color Name: </strong><span>Sequoia</span></div><div><strong>Color Tones: </strong><span>Brown|Tan|Black|Beige</span></div><div><strong>Product Shape: </strong><span>Plank</span></div><div><strong>Size (ft/in): </strong><span>8.75 X 59.45</span></div><div><strong>Size (mm): </strong><span>222.25 X 1510.03</span></div><div><strong>Sq ft/Box: </strong><span>18.04142361</span></div><div><strong>Thickness (mm): </strong><span>7.5</span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>N</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>,StainMaster,Vinyl Luxury,"Wood,Sequoia,Brown|Tan|Black|Beige,Plank,8.75 X 59.45,222.25 X 1510.03,18.04142361,7.5,Y,N,Y,,Floating Click Fold Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/PetProtect%20Vinyl/C09874_Novalis_DixieHome_Sequoia_1280x1280.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Walnut Grove5,Walnut Grove,"<div><div><strong>Look: </strong><span>Wood</span></div><div><strong>Color Name: </strong><span>Walnut Grove</span></div><div><strong>Color Tones: </strong><span>Brown|Gray|Tan</span></div><div><strong>Product Shape: </strong><span>Plank</span></div><div><strong>Size (ft/in): </strong><span>5.74 X 47.74</span></div><div><strong>Size (mm): </strong><span>145.7 X 1,212.5</span></div><div><strong>Sq ft/Box: </strong><span>19.03</span></div><div><strong>Thickness (mm): </strong><span></span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>N</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>",StainMaster,Vinyl Luxury,"Wood,Walnut Grove,Brown|Gray|Tan,Plank,5.74 X 47.74,145.7 X 1,212.5,19.03,,Y,N,Y,,Floating Click Fold Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/STAINMASTER%20Vinyl/Walnut%20Grove.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Mont Blanc6,Mont Blanc,<div><div><strong>Look: </strong><span>Wood</span></div><div><strong>Color Name: </strong><span>Mont Blanc</span></div><div><strong>Color Tones: </strong><span>Brown</span></div><div><strong>Product Shape: </strong><span>Plank</span></div><div><strong>Size (ft/in): </strong><span>8.75 X 59.45</span></div><div><strong>Size (mm): </strong><span>222.25 X 1510.03</span></div><div><strong>Sq ft/Box: </strong><span>18.04142361</span></div><div><strong>Thickness (mm): </strong><span>7.5</span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>N</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>,StainMaster,Vinyl Luxury,"Wood,Mont Blanc,Brown,Plank,8.75 X 59.45,222.25 X 1510.03,18.04142361,7.5,Y,N,Y,,Floating Click Fold Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/PetProtect%20Vinyl/C09872_Novalis_Masland_MontBlanc_1280x1280.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
V7,V,"<div><div><strong>Look: </strong><span>Wood</span></div><div><strong>Color Name: </strong><span>Vintage Oak</span></div><div><strong>Color Tones: </strong><span>Brown|Gray|Tan</span></div><div><strong>Product Shape: </strong><span>Plank</span></div><div><strong>Size (ft/in): </strong><span>7 X 47.74</span></div><div><strong>Size (mm): </strong><span>177.8 X 1212.6</span></div><div><strong>Sq ft/Box: </strong><span>23.207</span></div><div><strong>Thickness (mm): </strong><span>6</span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>N</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span>Clawshield, Underlayment Material Cork</span></div></div>",StainMaster,Vinyl Luxury,"Wood,Vintage Oak,Brown|Gray|Tan,Plank,7 X 47.74,177.8 X 1212.6,23.207,6,Y,N,Y,Clawshield, Underlayment Material Cork,Floating Click Fold Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/PetProtect%20Vinyl/Vintage%20Oak.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Manchester8,Manchester,<div><div><strong>Look: </strong><span>Stone</span></div><div><strong>Color Name: </strong><span>Manchester</span></div><div><strong>Color Tones: </strong><span>Beige|Gray|Off-White|Tan</span></div><div><strong>Product Shape: </strong><span>Rectangle Tile</span></div><div><strong>Size (ft/in): </strong><span>12 X 24</span></div><div><strong>Size (mm): </strong><span>304.8 X 609.8</span></div><div><strong>Sq ft/Box: </strong><span>24</span></div><div><strong>Thickness (mm): </strong><span></span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>Y</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>,StainMaster,Vinyl Luxury,"Stone,Manchester,Beige|Gray|Off-White|Tan,Rectangle Tile,12 X 24,304.8 X 609.8,24,,Y,Y,Y,,Direct Glue Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/STAINMASTER%20Vinyl/Manchester.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Cape Cod9,Cape Cod,<div><div><strong>Look: </strong><span>Wood</span></div><div><strong>Color Name: </strong><span>Cape Cod</span></div><div><strong>Color Tones: </strong><span>Taupe|Black</span></div><div><strong>Product Shape: </strong><span>Plank</span></div><div><strong>Size (ft/in): </strong><span>5 X 59.45</span></div><div><strong>Size (mm): </strong><span>127 X 1510.03</span></div><div><strong>Sq ft/Box: </strong><span>10.32118056</span></div><div><strong>Thickness (mm): </strong><span>7.5</span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>N</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>,StainMaster,Vinyl Luxury,"Wood,Cape Cod,Taupe|Black,Plank,5 X 59.45,127 X 1510.03,10.32118056,7.5,Y,N,Y,,Floating Click Fold Down",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/PetProtect%20Vinyl/C09867_Novalis_Masland_CapeCod_1280x1280.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Crushed Shell10,Crushed Shell,<div><div><strong>Look: </strong><span>Stone</span></div><div><strong>Color Name: </strong><span>Crushed Shell</span></div><div><strong>Color Tones: </strong><span>Beige|Brown|Gray|Off-White|Tan|White</span></div><div><strong>Product Shape: </strong><span>Square Tile</span></div><div><strong>Size (ft/in): </strong><span>18 X 18</span></div><div><strong>Size (mm): </strong><span>457.2 X 457.2</span></div><div><strong>Sq ft/Box: </strong><span>45</span></div><div><strong>Thickness (mm): </strong><span></span></div><div><strong>Microbevel Edge: </strong><span>Y</span></div><div><strong>Groutable: </strong><span>Y</span></div><div><strong>Urethane Coating: </strong><span>Y</span></div><div><strong>Features: </strong><span></span></div></div>,StainMaster,Vinyl Luxury,"Stone,Crushed Shell,Beige|Brown|Gray|Off-White|Tan|White,Square Tile,18 X 18,457.2 X 457.2,45,,Y,Y,Y,,Self Stick",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.stainmaster.com/~/media/INVISTA/PSM/STAINMASTER/Product%20Images/STAINMASTER%20Vinyl/Crushed%20Shell.ashx,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
