Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Ray Midnight Ct0001,Ray Midnight Ct000,"<div><div><strong>Product code: </strong><span>607294000</span></div><div><strong>Pattern: </strong><span>Ray</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Ray,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Ray",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RAY_MIDNIGHT.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Ray Steel Ct0033,Ray Steel Ct003,"<div><div><strong>Product code: </strong><span>607294003</span></div><div><strong>Pattern: </strong><span>Ray</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Ray,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Ray",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RAY_STEEL.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rialto Dune Ct0115,Rialto Dune Ct011,"<div><div><strong>Product code: </strong><span>607295001</span></div><div><strong>Pattern: </strong><span>Rialto</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rialto,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rialto",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RIALTO_DUNE.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rialto Charcoal Ct0107,Rialto Charcoal Ct010,"<div><div><strong>Product code: </strong><span>607295000</span></div><div><strong>Pattern: </strong><span>Rialto</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rialto,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rialto",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RIALTO_CHARCOAL.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Ray Ash Ct0029,Ray Ash Ct002,"<div><div><strong>Product code: </strong><span>607294002</span></div><div><strong>Pattern: </strong><span>Ray</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Ray,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Ray",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RAY_ASH.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rochelle Pewter Ct02211,Rochelle Pewter Ct022,"<div><div><strong>Product code: </strong><span>607296002</span></div><div><strong>Pattern: </strong><span>Rochelle</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rochelle,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rochelle",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_ROCHELLE_PEWTER.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rialto Denim Ct01313,Rialto Denim Ct013,"<div><div><strong>Product code: </strong><span>607295003</span></div><div><strong>Pattern: </strong><span>Rialto</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rialto,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rialto",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RIALTO_DENIM.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rochelle Latte Ct02115,Rochelle Latte Ct021,"<div><div><strong>Product code: </strong><span>607296001</span></div><div><strong>Pattern: </strong><span>Rochelle</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rochelle,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rochelle",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_ROCHELLE_LATTE.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rochelle Graphite Ct02017,Rochelle Graphite Ct020,"<div><div><strong>Product code: </strong><span>607296000</span></div><div><strong>Pattern: </strong><span>Rochelle</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rochelle,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rochelle",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_ROCHELLE_GRAPHITE.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Ray Taupe Ct00119,Ray Taupe Ct001,"<div><div><strong>Product code: </strong><span>607294001</span></div><div><strong>Pattern: </strong><span>Ray</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Ray,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Ray",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RAY_TAUPE.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rialto Pebble Ct01221,Rialto Pebble Ct012,"<div><div><strong>Product code: </strong><span>607295002</span></div><div><strong>Pattern: </strong><span>Rialto</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rialto,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rialto",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_RIALTO_PEBBLE.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rochelle Indigo Ct02323,Rochelle Indigo Ct023,"<div><div><strong>Product code: </strong><span>607296003</span></div><div><strong>Pattern: </strong><span>Rochelle</span></div><div><strong>Pattern type: </strong><span>Linear</span></div><div><strong>Format Type: </strong><span>Tile</span></div><div><strong>Dye Method: </strong><span>Solution Dyed</span></div><div><strong>Secondary backing: </strong><span>Polyester Felt back</span></div><div><strong>Pile thickness: </strong><span>0.120 "" (3 mm)</span></div><div><strong>Installation method: </strong><span>Glue-Down</span></div><div><strong>Flooring Radiant Panel: </strong><span>Class 1 (mean average CRF: 0.45 w/sq cm or higher)</span></div><div><strong>Smoke Generation: </strong><span>< 450</span></div></div>",Tarkett,Carpet,"Rochelle,Linear,Tile,Solution Dyed,Polyester Felt back,0.120 "" (3 mm),Glue-Down,Class 1 (mean average CRF: 0.45 w/sq cm or higher),< 450,Rochelle",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_ROCHELLE_INDIGO.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
