Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Birch Black Tea83,Birch Black Tea,"<div><div><strong>Sku: </strong><span>B108-BBT</span></div><div><strong>Collection: </strong><span>Welcome Home</span></div><div><strong>Species: </strong><span>Birch</span></div><div><strong>Structure: </strong><span>Cross Grain Multi-Ply Core</span></div><div><strong>Width: </strong><span>5""*</span></div><div><strong>Length: </strong><span>16"" TO 48""</span></div><div><strong>Thickness: </strong><span>1/2""*</span></div><div><strong>Wear Layer: </strong><span>2 mm*</span></div><div><strong>Install Type: </strong><span>Nail, Glue, or Float</span></div><div><strong>Sq. Ft. / Box: </strong><span>28.7 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"B108-BBT,Welcome Home,Birch,Cross Grain Multi-Ply Core,5""*,16"" TO 48"",1/2""*,2 mm*,Nail, Glue, or Float,28.7 ft,,Welcome Home",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/B108-BBT-Birch-Black-Tea-al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Bali58,Bali,"<div><div><strong>Sku: </strong><span>CS-1736</span></div><div><strong>Collection: </strong><span>Cascade</span></div><div><strong>Structure: </strong><span>Luxury Rigid Core SPC</span></div><div><strong>Width: </strong><span>7""*</span></div><div><strong>Length: </strong><span>59""</span></div><div><strong>Thickness: </strong><span>6 mm*</span></div><div><strong>Wear Layer: </strong><span>20 mil*</span></div><div><strong>Install Type: </strong><span>Unilin Click System</span></div><div><strong>Sq. Ft. / Box: </strong><span>17.44 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"CS-1736,Cascade,Luxury Rigid Core SPC,7""*,59"",6 mm*,20 mil*,Unilin Click System,17.44 ft,,Cascade",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/CS-1736-Bali-al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Walnut Ultra Matte28,Walnut Ultra Matte,"<div><div><strong>Sku: </strong><span>EX-WM317</span></div><div><strong>Collection: </strong><span>Urban Lifestyle</span></div><div><strong>Species: </strong><span>American Walnut</span></div><div><strong>Structure: </strong><span>Cross Grain Multi-Ply Core</span></div><div><strong>Width: </strong><span>5""*</span></div><div><strong>Length: </strong><span>Random, up to 48"" *</span></div><div><strong>Thickness: </strong><span>9/16""*</span></div><div><strong>Wear Layer: </strong><span>3 mm*</span></div><div><strong>Install Type: </strong><span>Glue, Float, Nail/Staple</span></div><div><strong>Sq. Ft. / Box: </strong><span>23 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"EX-WM317,Urban Lifestyle,American Walnut,Cross Grain Multi-Ply Core,5""*,Random, up to 48"" *,9/16""*,3 mm*,Glue, Float, Nail/Staple,23 ft,,Urban Lifestyle",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/EX-WM317-Walnut-Ultra-Matte-al-LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Calabria4,Calabria,"<div><div><strong>Sku: </strong><span>VCC-804</span></div><div><strong>Collection: </strong><span>Villa Caprisi</span></div><div><strong>Species: </strong><span>European Oak</span></div><div><strong>Structure: </strong><span>Cross Grain Multi-Ply Core</span></div><div><strong>Width: </strong><span>9.5""*</span></div><div><strong>Length: </strong><span>Up to 7'3"" (87"")</span></div><div><strong>Thickness: </strong><span>5/8""*</span></div><div><strong>Wear Layer: </strong><span>4 mm*</span></div><div><strong>Install Type: </strong><span>Glue, Float, Nail/Staple</span></div><div><strong>Sq. Ft. / Box: </strong><span>34.11 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"VCC-804,Villa Caprisi,European Oak,Cross Grain Multi-Ply Core,9.5""*,Up to 7'3"" (87""),5/8""*,4 mm*,Glue, Float, Nail/Staple,34.11 ft,,Villa Caprisi",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/VCC-804-Calabria_al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Whitewater90,Whitewater,"<div><div><strong>Sku: </strong><span>CS-1701</span></div><div><strong>Collection: </strong><span>Cascade</span></div><div><strong>Structure: </strong><span>Luxury Rigid Core SPC</span></div><div><strong>Width: </strong><span>7""*</span></div><div><strong>Length: </strong><span>60""</span></div><div><strong>Thickness: </strong><span>5.5 mm*</span></div><div><strong>Wear Layer: </strong><span>20 mil*</span></div><div><strong>Install Type: </strong><span>Unipush Click System</span></div><div><strong>Sq. Ft. / Box: </strong><span>29.74 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"CS-1701,Cascade,Luxury Rigid Core SPC,7""*,60"",5.5 mm*,20 mil*,Unipush Click System,29.74 ft,,Cascade",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/CS-1701-Whitewater_al-01.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Maple Gunstock37,Maple Gunstock,"<div><div><strong>Sku: </strong><span>HSE-5012GT</span></div><div><strong>Collection: </strong><span>Urban Lifestyle</span></div><div><strong>Species: </strong><span>Maple</span></div><div><strong>Structure: </strong><span>Cross Grain Multi-Ply</span></div><div><strong>Width: </strong><span>5""*</span></div><div><strong>Length: </strong><span>Random, up to 48"" *</span></div><div><strong>Thickness: </strong><span>9/16""*</span></div><div><strong>Wear Layer: </strong><span>3 mm*</span></div><div><strong>Install Type: </strong><span>Glue, Float, Nail/Staple</span></div><div><strong>Sq. Ft. / Box: </strong><span>23 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"HSE-5012GT,Urban Lifestyle,Maple,Cross Grain Multi-Ply,5""*,Random, up to 48"" *,9/16""*,3 mm*,Glue, Float, Nail/Staple,23 ft,,Urban Lifestyle",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/HSE-5012GT-Maple-Gunstock-al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Birch Mulberry15,Birch Mulberry,"<div><div><strong>Sku: </strong><span>EX-BM313</span></div><div><strong>Collection: </strong><span>Urban Lifestyle</span></div><div><strong>Species: </strong><span>Birch</span></div><div><strong>Structure: </strong><span>Cross Grain Multi-Ply</span></div><div><strong>Width: </strong><span>5""*</span></div><div><strong>Length: </strong><span>Random, up to 48"" *</span></div><div><strong>Thickness: </strong><span>9/16""*</span></div><div><strong>Wear Layer: </strong><span>3 mm*</span></div><div><strong>Install Type: </strong><span>Glue, Float, Nail/Staple</span></div><div><strong>Sq. Ft. / Box: </strong><span>23 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"EX-BM313,Urban Lifestyle,Birch,Cross Grain Multi-Ply,5""*,Random, up to 48"" *,9/16""*,3 mm*,Glue, Float, Nail/Staple,23 ft,,Urban Lifestyle",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/EX-BM313-Birch-Mulberry-al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Delacroix63,Delacroix,"<div><div><strong>Sku: </strong><span>ART-1603DL</span></div><div><strong>Collection: </strong><span>L'artiste</span></div><div><strong>Species: </strong><span>European Oak</span></div><div><strong>Structure: </strong><span>Engineered</span></div><div><strong>Width: </strong><span>8.625""*</span></div><div><strong>Length: </strong><span>85% up to 87""</span></div><div><strong>Thickness: </strong><span>3/4""*</span></div><div><strong>Wear Layer: </strong><span>6 mm*</span></div><div><strong>Install Type: </strong><span>Glue, Nail/Staple</span></div><div><strong>Sq. Ft. / Box: </strong><span>31.26 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"ART-1603DL,L'artiste,European Oak,Engineered,8.625""*,85% up to 87"",3/4""*,6 mm*,Glue, Nail/Staple,31.26 ft,,L'Artiste",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/1603_Delacroix_al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Walnut Apache74,Walnut Apache,"<div><div><strong>Sku: </strong><span>TCW-410-AP</span></div><div><strong>Collection: </strong><span>Mountain Country</span></div><div><strong>Species: </strong><span>American Walnut</span></div><div><strong>Structure: </strong><span>Cross Grain Multi-Ply Core</span></div><div><strong>Width: </strong><span>6""*</span></div><div><strong>Length: </strong><span>Random up to 48""</span></div><div><strong>Thickness: </strong><span>1/2""*</span></div><div><strong>Wear Layer: </strong><span>2 mm*</span></div><div><strong>Install Type: </strong><span>Glue, Float, Nail/Staple</span></div><div><strong>Sq. Ft. / Box: </strong><span>20.67 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"TCW-410-AP,Mountain Country,American Walnut,Cross Grain Multi-Ply Core,6""*,Random up to 48"",1/2""*,2 mm*,Glue, Float, Nail/Staple,20.67 ft,,Mountain Country",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/TCW-410-AP-Walnut-Apache-al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rousseau6,Rousseau,"<div><div><strong>Sku: </strong><span>ART-1609RS</span></div><div><strong>Collection: </strong><span>L'artiste</span></div><div><strong>Species: </strong><span>European Oak</span></div><div><strong>Structure: </strong><span>Engineered</span></div><div><strong>Width: </strong><span>8.625""*</span></div><div><strong>Length: </strong><span>85% up to 87""</span></div><div><strong>Thickness: </strong><span>3/4""*</span></div><div><strong>Wear Layer: </strong><span>6 mm*</span></div><div><strong>Install Type: </strong><span>Glue, Nail/Staple</span></div><div><strong>Sq. Ft. / Box: </strong><span>31.26 ft</span></div><div><strong>*Nominal: </strong><span></span></div></div>",Urban,Hardwood,"ART-1609RS,L'artiste,European Oak,Engineered,8.625""*,85% up to 87"",3/4""*,6 mm*,Glue, Nail/Staple,31.26 ft,,L'Artiste",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://www.urbanfloor.com/images/D/1609_Rousseau_al_LG.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
